pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol
official_legacy_cross_dino_large,dinov2,large,DINOv2 Large,300.0,10,shared_best_basis_idf,0.020445529447665547,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,dense_cosine,0.0127197265625,16384,3277,paper_full_catalog
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,dense_cosine_heldout,0.011565456209948123,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,bsf_codes_cosine,0.017210863594751297,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side1_basis_cosine,0.020781202319194385,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side1_basis_idf,0.018919743667989014,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side2_basis_cosine,0.01925541653951785,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_side2_basis_idf,0.01971315227342081,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_best_basis_cosine,0.020781202319194385,16384,3277,heldout_query_full_gallery
official_legacy_cross_dino_giant,dinov2,giant,DINOv2 Giant,1100.0,10,shared_best_basis_idf,0.01971315227342081,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,dense_cosine,0.007208251953125,16384,3277,paper_full_catalog
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,dense_cosine_heldout,0.007110161733292646,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,bsf_codes_cosine,0.008910588953310955,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side1_basis_cosine,0.012511443393347574,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side1_basis_idf,0.0137320720170888,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side2_basis_cosine,0.009856576136710406,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_side2_basis_idf,0.011077204760451632,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_best_basis_cosine,0.012511443393347574,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_base,vit,base,ViT Base,86.0,10,shared_best_basis_idf,0.0137320720170888,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,dense_cosine,0.01473388671875,16384,3277,paper_full_catalog
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,dense_cosine_heldout,0.01367104058590174,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,bsf_codes_cosine,0.013884650595056456,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side1_basis_cosine,0.01922490082392432,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side1_basis_idf,0.022032346658529142,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side2_basis_cosine,0.018980775099176075,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_side2_basis_idf,0.022734208117180348,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_best_basis_cosine,0.01922490082392432,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_large,vit,large,ViT Large,307.0,10,shared_best_basis_idf,0.022734208117180348,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,dense_cosine,0.014373779296875,16384,3277,paper_full_catalog
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,dense_cosine_heldout,0.014464449191333537,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,bsf_codes_cosine,0.016295392126945377,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side1_basis_cosine,0.01925541653951785,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side1_basis_idf,0.017973756484589563,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side2_basis_cosine,0.018523039365273115,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_side2_basis_idf,0.019316447970704913,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_best_basis_cosine,0.01925541653951785,16384,3277,heldout_query_full_gallery
official_legacy_cross_vit_huge,vit,huge,ViT Huge,632.0,10,shared_best_basis_idf,0.019316447970704913,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,dense_cosine,0.010443115234375,16384,3277,paper_full_catalog
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,dense_cosine_heldout,0.010741531888922795,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,bsf_codes_cosine,0.018400976502898993,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,shared_side1_basis_cosine,0.027525175465364666,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,shared_side1_basis_idf,0.030271589868782423,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,shared_side2_basis_cosine,0.02236801953005798,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,shared_side2_basis_idf,0.03143118706133659,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,shared_best_basis_cosine,0.027525175465364666,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_huge,ijepa,huge,IJEPA Huge,630.0,10,shared_best_basis_idf,0.03143118706133659,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,dense_cosine,0.017822265625,16384,3277,paper_full_catalog
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,dense_cosine_heldout,0.017577052181873665,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,bsf_codes_cosine,0.023893805309734513,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,shared_side1_basis_cosine,0.03207201708880073,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,shared_side1_basis_idf,0.03704607873054623,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,shared_side2_basis_cosine,0.028501678364357647,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,shared_side2_basis_idf,0.033536771437290204,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,shared_best_basis_cosine,0.03207201708880073,16384,3277,heldout_query_full_gallery
official_legacy_cross_ijepa_giant,ijepa,giant,IJEPA Giant,1000.0,10,shared_best_basis_idf,0.03704607873054623,16384,3277,heldout_query_full_gallery
