family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,metric,k_or_keff,dense_score,bootstrap_low,bootstrap_high,null_score,seed_std,n,protocol,method_raw,other_score,model_o,size_label_o,parameter_count_o,log10_parameter_count_o,lift,score
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,10,0.017822265625,,,,,16384,paper_full_catalog,dense_cosine,0.028104974061641745,IJEPA Giant,giant,1000000000.0,9.0,0.010282708436641745,0.010282708436641745
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,20,0.021881103515625,,,,,16384,paper_full_catalog,dense_cosine,0.03878547451937748,IJEPA Giant,giant,1000000000.0,9.0,0.01690437100375248,0.01690437100375248
ijepa,IJEPA Giant,official_legacy_cross_ijepa_giant,giant,1,1000000000.0,9.0,1000.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,sae,mknn_lift_vs_dense,50,0.0318310546875,,,,,16384,paper_full_catalog,dense_cosine,0.05838877021666158,IJEPA Giant,giant,1000000000.0,9.0,0.026557715529161578,0.026557715529161578
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.009747314453125,,,,,16384,paper_full_catalog,dense_cosine,0.016081782117790662,ConvNeXtv2 Nano,nano,15000000.0,7.176091259055681,0.006334467664665663,0.006334467664665663
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.0119537353515625,,,,,16384,paper_full_catalog,dense_cosine,0.022978333841928593,ConvNeXtv2 Nano,nano,15000000.0,7.176091259055681,0.011024598490366093,0.011024598490366093
convnext,ConvNeXtv2 Nano,official_legacy_cross_convnext_nano,nano,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.01911376953125,,,,,16384,paper_full_catalog,dense_cosine,0.03663716814159292,ConvNeXtv2 Nano,nano,15000000.0,7.176091259055681,0.01752339861034292,0.01752339861034292
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.009100341796875,,,,,16384,paper_full_catalog,dense_cosine,0.015440952090326518,ConvNeXtv2 Tiny,tiny,28000000.0,7.447158031342219,0.006340610293451518,0.006340610293451518
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.0113677978515625,,,,,16384,paper_full_catalog,dense_cosine,0.021925541653951785,ConvNeXtv2 Tiny,tiny,28000000.0,7.447158031342219,0.010557743802389285,0.010557743802389285
convnext,ConvNeXtv2 Tiny,official_legacy_cross_convnext_tiny,tiny,1,28000000.0,7.447158031342219,28.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.018310546875,,,,,16384,paper_full_catalog,dense_cosine,0.03753433018004272,ConvNeXtv2 Tiny,tiny,28000000.0,7.447158031342219,0.01922378330504272,0.01922378330504272
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.011724853515625,,,,,16384,paper_full_catalog,dense_cosine,0.019499542264266097,ConvNeXtv2 Base,base,89000000.0,7.949390006644912,0.007774688748641097,0.007774688748641097
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.0140899658203125,,,,,16384,paper_full_catalog,dense_cosine,0.02651815685077815,ConvNeXtv2 Base,base,89000000.0,7.949390006644912,0.01242819103046565,0.01242819103046565
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.02184326171875,,,,,16384,paper_full_catalog,dense_cosine,0.043448275862068966,ConvNeXtv2 Base,base,89000000.0,7.949390006644912,0.021605014143318967,0.021605014143318967
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.0132080078125,,,,,16384,paper_full_catalog,dense_cosine,0.019774183704607873,ConvNeXtv2 Large,large,198000000.0,8.296665190261532,0.006566175892107872,0.006566175892107872
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.01484375,,,,,16384,paper_full_catalog,dense_cosine,0.026640219713152273,ConvNeXtv2 Large,large,198000000.0,8.296665190261532,0.011796469713152274,0.011796469713152274
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.0224169921875,,,,,16384,paper_full_catalog,dense_cosine,0.0420933780897162,ConvNeXtv2 Large,large,198000000.0,8.296665190261532,0.019676385902216202,0.019676385902216202
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.007183837890625,,,,,16384,paper_full_catalog,dense_cosine,0.01693622215440952,AstroPTv2 Small,15m,15000000.0,7.176091259055681,0.009752384263784521,0.009752384263784521
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.010595703125,,,,,16384,paper_full_catalog,dense_cosine,0.026274031126029905,AstroPTv2 Small,15m,15000000.0,7.176091259055681,0.015678328001029904,0.015678328001029904
astropt,AstroPTv2 Small,official_legacy_cross_astropt_15m,15m,0,15000000.0,7.176091259055681,15.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.017518310546875,,,,,16384,paper_full_catalog,dense_cosine,0.042368019530057976,AstroPTv2 Small,15m,15000000.0,7.176091259055681,0.024849708983182978,0.024849708983182978
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.009893798828125,,,,,16384,paper_full_catalog,dense_cosine,0.013793103448275862,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.0038993046201508622,0.0038993046201508622
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.0143218994140625,,,,,16384,paper_full_catalog,dense_cosine,0.021757705218187366,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.007435805804124866,0.007435805804124866
astropt,AstroPTv2 Base,official_legacy_cross_astropt_95m,95m,1,95000000.0,7.977723605288848,95.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.02310791015625,,,,,16384,paper_full_catalog,dense_cosine,0.036521208422337505,AstroPTv2 Base,95m,95000000.0,7.977723605288848,0.013413298266087503,0.013413298266087503
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.0119384765625,,,,,16384,paper_full_catalog,dense_cosine,0.01592920353982301,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.003990726977323009,0.003990726977323009
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.0166290283203125,,,,,16384,paper_full_catalog,dense_cosine,0.023451327433628318,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.006822299113315819,0.006822299113315819
astropt,AstroPTv2 Large,official_legacy_cross_astropt_850m,850m,2,850000000.0,8.929418925714293,850.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.02632568359375,,,,,16384,paper_full_catalog,dense_cosine,0.0397009459871834,AstroPTv2 Large,850m,850000000.0,8.929418925714293,0.0133752623934334,0.0133752623934334
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,10,0.011651611328125,,,,,16384,paper_full_catalog,dense_cosine,0.013823619163869394,DINOv2 Small,small,22000000.0,7.342422680822207,0.002172007835744394,0.002172007835744394
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,20,0.01373291015625,,,,,16384,paper_full_catalog,dense_cosine,0.01959108941104669,DINOv2 Small,small,22000000.0,7.342422680822207,0.005858179254796689,0.005858179254796689
dinov2,DINOv2 Small,official_legacy_cross_dino_small,small,0,22000000.0,7.342422680822207,22.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,bsf,mknn_lift_vs_dense,50,0.021036376953125,,,,,16384,paper_full_catalog,dense_cosine,0.033628318584070796,DINOv2 Small,small,22000000.0,7.342422680822207,0.012591941630945794,0.012591941630945794
