model,representation,physical_variable,n_centres,field_stable_rank,field_entropy_rank,field_rank_95,field_rank_99,participation_ratio,ambient_dim,activation_eff_rank,min_eig,adjacent_similarity,mean_rotation_speed,median_transfer_length,survey,probe_alpha,mean_global_local_pearson,mean_local_pearson,mean_local_minus_global,frac_local_better,bootstrap_stability
vit_large,sae,mag_r_desi,17,1.9252735555425093,11.625793737654522,14,17,8.460410162733378,2048,13.487960004124606,0.19884194766254568,-0.18954502172835824,14.498271827656492,,physics,1000.0,0.05629933978496583,0.012789692528091132,-0.0435096472568747,0.23529411764705882,0.6191816453776932
vit_large,sae,smooth_fraction,17,4.947457614719421,15.470419904678788,16,17,14.175470119092871,2048,13.487960004124606,0.46122166655833347,-0.007966925560705721,19.36351669536106,,physics,1000.0,0.0333985545525741,0.007875501920596415,-0.025523052631977686,0.4117647058823529,0.9223852685402327
vit_large,sae_sqrt_idf,photo_z,17,3.9775523148264815,14.974139309605533,16,17,13.34930459239279,2048,15.045422191754932,0.4267571726823115,-0.1153348939883787,9.10298070800024,,physics,1e-06,0.06793198352448587,0.023909329573204293,-0.044022653951281576,0.29411764705882354,
vit_large,sae_sqrt_idf,mag_r_desi,17,1.925279488802899,11.625935684417032,14,17,8.460566116477937,2048,15.045422191754932,0.1988419856234918,-0.18955002668688078,14.498322899343817,,physics,1000.0,0.056299310700038095,0.012788987842599072,-0.04351032285743902,0.23529411764705882,
vit_large,sae_sqrt_idf,smooth_fraction,17,4.947421668446375,15.470425361260038,16,17,14.17547569303911,2048,15.045422191754932,0.46122429138879467,-0.007967098750587914,19.363523196471682,,physics,1000.0,0.03339861145561068,0.007875570631770416,-0.025523040823840257,0.4117647058823529,
clip_base,dense,photo_z,17,1.4484545692885156,10.774673994307571,13,16,7.152587459941894,512,3.9400482058094153,0.13768114994737604,0.17754117687386894,7.618490873466172,,physics,1e-06,0.07050150111351215,0.04688654385754686,-0.02361495725596529,0.23529411764705882,
clip_base,dense,mag_r_desi,17,1.7392307089334331,11.212459036148854,13,16,8.060398703700564,512,3.9400482058094153,0.1248752939298371,0.1440845421978777,13.183165408189527,,physics,1000.0,0.06494226645246161,0.04613749925037308,-0.01880476720208854,0.4117647058823529,
clip_base,dense,smooth_fraction,17,2.045557030221394,12.24980049461462,14,16,9.337734636338432,512,3.9400482058094153,0.11666709230955781,0.1735438227380121,17.57661962611077,,physics,1000.0,0.03749486474203596,0.03717639583526483,-0.00031846890677112864,0.5294117647058824,
clip_base,sae,photo_z,17,4.297103097154685,15.329722781783014,16,17,13.946791533407517,2048,12.16304047617413,0.41147533862898095,-0.06570914232400366,8.859601852464202,,physics,1e-06,0.053879397010129816,0.028756525241827306,-0.02512287176830251,0.29411764705882354,0.9254358167814728
clip_base,sae,mag_r_desi,17,3.507875273582259,15.01807011392169,15,17,13.314916804081468,2048,12.16304047617413,0.36523066072863797,-0.04096086890603991,14.257016621902652,,physics,1000.0,0.0636650619437934,0.03346648849481227,-0.030198573448981143,0.23529411764705882,0.9288692375555331
clip_base,sae,smooth_fraction,17,5.797474617025683,15.84679677645461,16,17,14.852248881003437,2048,12.16304047617413,0.45172981491589126,0.013020649160724235,19.04081019006889,,physics,1000.0,0.04029224482733637,0.03562122693805544,-0.004671017889280943,0.4117647058823529,0.9249050737883474
clip_base,sae_sqrt_idf,photo_z,17,4.297096760331597,15.329715736009986,16,17,13.946780046004617,2048,13.81478964446412,0.4114750605403049,-0.06570954689808689,8.859604140391777,,physics,1e-06,0.05387945211053319,0.02875629287677969,-0.025123159233753502,0.29411764705882354,
clip_base,sae_sqrt_idf,mag_r_desi,17,3.507880099608529,15.018064977144617,15,17,13.314910189748318,2048,13.81478964446412,0.365231540905941,-0.04096223913187749,14.257028422145407,,physics,1000.0,0.06366542441948743,0.03346584676557772,-0.03019957765390971,0.23529411764705882,
clip_base,sae_sqrt_idf,smooth_fraction,17,5.797435123147342,15.846785167955424,16,17,14.852228625400432,2048,13.81478964446412,0.45172726956090326,0.013020840325350986,19.04080881782257,,physics,1000.0,0.040292250311361875,0.035621771720152004,-0.0046704785912098715,0.4117647058823529,
