family,model,size_name,parameter_count,log10_params,K,n_small_patches,mse_global,mse_patch,mse_local,G,rel_mse_reduction,rel_mse_reduction_local,delta_local_vs_patch,mean_cos,median_cos,p_perm_G,p_perm_cos,null_G_mean,null_G_sd
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,16,0,0.2233935445547104,0.22308552265167236,0.22519834339618683,0.0003080219030380249,0.0013788308147041758,-0.008079010721074953,-0.0021128207445144653,0.02818898949241421,0.029143786300427063,0.004975124378109453,0.004975124378109453,-0.00017893455922603606,9.489801024174097e-05
astropt,official_legacy_cross_astropt_850m,850m,850000000,8.929418925714293,32,0,0.2233935445547104,0.22271573543548584,0.2307301014661789,0.0006778091192245483,0.003034148191594448,-0.03284140070427031,-0.008014366030693054,0.04567355003747531,0.04918639104081418,0.004975124378109453,0.004975124378109453,-0.000364912673830986,0.00014924498350399502
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,4,0,0.28722766041755676,0.287270188331604,0.2885119318962097,-4.252791404724121e-05,-0.000148063435065468,-0.004471266718483681,-0.0012417435646057129,-0.0009896286972312183,-0.0006948282140529938,0.4079601990049751,0.5870646766169154,-5.8140754699707035e-05,4.325301827515852e-05
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,8,0,0.28722766041755676,0.28726842999458313,0.29014459252357483,-4.076957702636719e-05,-0.00014194168126808706,-0.0101554707571603,-0.0028761625289916992,0.004442534221319145,0.004810050596403688,0.06467661691542288,0.19900497512437812,-0.0001330706477165222,6.367319127354679e-05
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,16,0,0.28722766041755676,0.287354439496994,0.295053094625473,-0.00012677907943725586,-0.0004413888246450602,-0.0272447096374355,-0.007698655128479004,0.00545259055686117,0.00641057431203808,0.014925373134328358,0.0845771144278607,-0.000278065949678421,6.995885187451012e-05
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,32,0,0.28722766041755676,0.2875780761241913,0.30705347657203674,-0.0003504157066345215,-0.0012199929008407657,-0.06902474547771002,-0.01947540044784546,0.0049052228353203345,0.003508906064138926,0.029850746268656716,0.1044776119402985,-0.000593644380569458,0.00012967383631601648
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,4,0,0.44822171330451965,0.4482617676258087,0.4498525559902191,-4.00543212890625e-05,-8.936274192020186e-05,-0.0036384731870217906,-0.0015907883644104004,-0.00031637873844902754,-0.005480926276875853,0.3283582089552239,0.572139303482587,-7.908672094345093e-05,6.884319948601299e-05
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,8,0,0.44822171330451965,0.44828733801841736,0.4538367986679077,-6.562471389770508e-05,-0.0001464112780567593,-0.012527472892802942,-0.0055494606494903564,0.0014580449810976581,0.0015991996799652117,0.0945273631840796,0.3781094527363184,-0.0002057535946369171,0.00010515110495581399
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,16,0,0.44822171330451965,0.4483557641506195,0.46135613322257996,-0.00013405084609985352,-0.00029907262883710413,-0.02930339947439548,-0.01300036907196045,0.006973542767858051,0.011930550219669975,0.004975124378109453,0.009950248756218905,-0.00044288396835327146,0.00012137712406988058
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,32,0,0.44822171330451965,0.4489733576774597,0.47986385226249695,-0.0007516443729400635,-0.0016769477038462881,-0.07059483737344019,-0.03089049458503723,0.0007868425881878019,-0.0036881473237098464,0.2537313432835821,0.3880597014925373,-0.0008945794403553009,0.00020739510493383837
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,4,0,0.6293640732765198,0.6293867230415344,0.6314233541488647,-2.2649765014648438e-05,-3.598833485478754e-05,-0.0032720025813106706,-0.0020366311073303223,0.0038357792919620913,0.0016025138984958652,0.08955223880597014,0.19900497512437812,-0.00012333691120147705,8.044618641804639e-05
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,8,0,0.6293640732765198,0.6293804049491882,0.6349619626998901,-1.633167266845703e-05,-2.5949483553188913e-05,-0.008894516959360742,-0.005581557750701904,0.006087857768478658,0.004131819144207528,0.014925373134328358,0.09950248756218906,-0.00026842981576919556,0.00010550451825530146
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,16,0,0.6293640732765198,0.6295466423034668,0.6443930268287659,-0.00018256902694702148,-0.0002900849201584585,-0.0238795860621725,-0.014846384525299072,0.004742283401737592,0.0009399807044898345,0.009950248756218905,0.15920398009950248,-0.000563088059425354,0.00017671713223583167
convnext,official_legacy_cross_convnext_base,base,89000000,7.949390006644912,32,0,0.6293640732765198,0.6301669478416443,0.671535074710846,-0.0008028745651245117,-0.0012756917644578636,-0.06700573360468538,-0.04136812686920166,0.0027178787945261566,0.0008508088574175517,0.03980099502487562,0.23880597014925373,-0.0012178125977516175,0.0002377204049064505
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,4,0,0.5827473998069763,0.5828213095664978,0.5846344232559204,-7.390975952148438e-05,-0.00012682984007473142,-0.0032381499249402594,-0.0018131136894226074,0.0008616270074481332,0.010792138765778093,0.4427860696517413,0.47761194029850745,-9.262174367904663e-05,7.58033547464279e-05
convnext,official_legacy_cross_convnext_large,large,198000000,8.296665190261532,8,0,0.5827473998069763,0.5829010605812073,0.5878705382347107,-0.00015366077423095703,-0.00026368332880053033,-0.008791353559760738,-0.004969477653503418,-0.0012693348634510082,0.0004103002035929053,0.2835820895522388,0.6268656716417911,-0.0002249792218208313,0.00011020266423227545
