dataset_id,label,cutoff,cutoff_source,n_ranks_kept,peak_d,peak_controlled,smooth_fraction_d43_kept,desi_mag_d36_kept,R_H,m_d,df_ratio,dS,fail_frozen,weak_0.4,weak_0.5,weak_0.6
physics_vit_base,photo_z,overlay,per_rank,,38,0.0449409889478804,,,0.4243145577499184,741.0,0.7236328125,0.002798542836596122,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,39,0.0293989388602997,,,0.4181060516738235,780.0,0.76171875,0.0027146717176265156,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,40,0.0267595788611489,,,0.4132479478892014,820.0,0.80078125,0.0026424465823235246,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,41,0.0357224124354091,,,0.4035458117449791,861.0,0.8408203125,0.00259458082666697,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,42,0.0576715252296545,,,0.4003372547887288,903.0,0.8818359375,0.002511246540924124,False,False,True,True
physics_vit_base,photo_z,overlay,per_rank,,43,0.0309301900281704,,,0.3964807568486408,946.0,0.923828125,0.002456425721902633,False,True,True,True
physics_vit_base,photo_z,overlay,per_rank,,44,0.0459202864851632,,,0.3891850100825742,990.0,0.966796875,0.0023819781757386713,False,True,True,True
physics_vit_base,sfr,0.2,frozen_gate,39,34,0.4537549407114624,False,False,,,,,,,,
physics_vit_base,sfr,0.4,descriptive_stricter,37,34,0.4537549407114624,False,False,,,,,,,,
physics_vit_base,sfr,0.5,descriptive_stricter,21,11,-0.3714097496706191,False,False,,,,,,,,
physics_vit_base,sfr,0.6,descriptive_stricter,0,,,False,False,,,,,,,,
physics_vit_base,sfr,overlay,per_rank,,6,-0.1397891963109354,,,0.5157246446498049,21.0,0.0205078125,0.0035887929971825847,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,7,-0.3421607378129117,,,0.5156920386211349,28.0,0.02734375,0.003884932030662943,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,8,-0.3047430830039525,,,0.5249911306748358,36.0,0.03515625,0.004084798260964817,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,9,-0.1467720685111989,,,0.5122163515943452,45.0,0.0439453125,0.004276706763812399,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,10,-0.2598155467720685,,,0.5276850998498144,55.0,0.0537109375,0.004453260994523589,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,11,-0.3714097496706191,,,0.5213222979810785,66.0,0.064453125,0.00455301781144044,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,12,-0.2757575757575757,,,0.5264760741959892,78.0,0.076171875,0.004641362080201361,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,13,-0.2602108036890646,,,0.5358096958690266,91.0,0.0888671875,0.004673105462825333,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,14,-0.1507246376811594,,,0.5286536068791441,105.0,0.1025390625,0.004726898298804372,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,15,0.0670619235836627,,,0.5271277276999978,120.0,0.1171875,0.004694744267635543,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,16,0.1557312252964426,,,0.5140178048328532,136.0,0.1328125,0.004643543944484917,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,17,0.1638998682476943,,,0.5143718269929936,153.0,0.1494140625,0.0045467008094419725,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,18,0.2624505928853755,,,0.5094080609850065,171.0,0.1669921875,0.004467049549157309,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,19,0.2250329380764163,,,0.5145532265039472,190.0,0.185546875,0.004410371031826798,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,20,0.317391304347826,,,0.5155509716501046,210.0,0.205078125,0.004367288155958705,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,21,0.130961791831357,,,0.5143797619804373,231.0,0.2255859375,0.004240529654983523,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,22,0.2690382081686429,,,0.5139056173204031,253.0,0.2470703125,0.004147209729277771,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,23,0.3115942028985506,,,0.5148168256578034,276.0,0.26953125,0.004086146411585409,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,24,0.3471673254281949,,,0.5097807936922768,300.0,0.29296875,0.0039848733965754946,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,25,0.3549407114624506,,,0.5073449508844395,325.0,0.3173828125,0.003880329966856759,False,False,False,True
physics_vit_base,sfr,overlay,per_rank,,26,0.353227931488801,,,0.5033931103437779,351.0,0.3427734375,0.0038146632975895045,False,False,False,True
