sample_id,A_B,A_B_A,A_B_B,gamma_fold_cosine,A_B_agree
806,2.19153281369778,2.1210417375799238,1.7886418142719969,0.937322101778355,0.9149803509927351
807,2.426899829145437,2.3146067644695565,1.7808231079507306,0.9255199074434708,0.8696635827868848
811,1.9852146362405794,1.6507125965609415,1.655881534419339,0.9046454978769939,0.9984367788565375
812,3.0572611087038037,2.5681312773920943,2.5463323465363064,0.9340775953044542,0.9957377874868832
817,2.7261933089180963,2.289728913063124,2.355133266300418,0.9251387312167536,0.9859189894744614
821,1.85799430786315,1.662317698859457,1.490466134988686,0.9145765361867487,0.9454921196861705
824,2.3284247669337104,1.7807996728803455,2.1672000020943187,0.9091461812650778,0.9021275681294343
825,2.2379012080204688,1.9030681328597085,1.8617345960562683,0.898657816354733,0.9890210617183276
826,2.629880380065527,2.3391950049130354,2.1143808375077318,0.8916226854852192,0.9495205256719947
827,2.0690270447076076,1.9093126402353646,1.6940882824450998,0.8952386954313848,0.9402718813675149
830,2.7148789089726977,2.4197381656062995,2.092376603785336,0.9268167575294348,0.9274483078219438
838,1.5797743270697693,1.301672445893279,1.400505231320056,0.904835866290671,0.9634247643076157
842,2.805337385817944,2.329686560755105,2.355453365658861,0.9428403306027033,0.9945003126249256
848,3.221284180339885,2.7232861803863844,2.8090522777081004,0.9401173962699135,0.984497315561699
850,2.1725602649335896,1.8232939797002305,1.8817124320831613,0.9448598556210965,0.9842325637555884
857,1.6587519838441278,1.2303684446847312,1.601335661323524,0.95294559017861,0.8689950634843232
871,3.294788985479312,2.9203832197095068,2.7040913278531096,0.9417936227450503,0.961544515842795
888,1.9137209592189346,1.7894402911095364,1.637879087890437,0.8964842365292776,0.955778500204051
897,2.9741872841162946,2.671946250286321,2.2862683475489973,0.9140360989638374,0.9222143585907506
898,3.1162125146789323,2.398423778840031,2.854271569977227,0.9422846667640858,0.9132164039858435
918,2.1039490329582575,1.6654740006642974,2.0300495436553705,0.9221127680671357,0.901346713498428
922,2.4870577743668254,2.197557453799695,2.027874857451802,0.9354302452807131,0.9598425477326755
923,2.0723688531068816,2.8221480894677713,1.471616792009127,0.9421890116218319,0.6854668723746906
924,1.4402349299583577,1.1655733312522378,1.4117864932410773,0.8977643690798915,0.9044707845412145
925,3.316641407832886,3.109244232802013,2.533740569158924,0.9458478841693554,0.8980143162102613
930,3.034772427815712,2.3275680942612493,2.716707499609743,0.9356252495363683,0.9228552448995224
932,2.6633587462536497,1.906031581210701,2.5487989494811454,0.9325771777368386,0.855714518466627
935,2.806869007638412,2.225655041867646,2.4692773602430975,0.9459418629492131,0.9481095152156133
942,2.2818429112797682,2.0595803897523166,1.8987626652564213,0.9438128103197884,0.9593724641191969
953,3.2267458997335567,2.6859512860512678,2.6568051691397416,0.9635908208837574,0.9945447416224246
963,1.5236419765132927,1.3841203627498173,1.2361982596584002,0.9119543967143208,0.9435480472388246
978,1.681868879372845,1.3833493456913881,1.354616734774555,0.9382067557811868,0.9895058557803815
980,2.9554717214807367,2.660718409023737,2.437436125211839,0.928837323923314,0.9562033119411165
984,1.7876837612821364,1.381617525835744,2.2462733830383805,0.9059691517711543,0.7616643171139419
986,2.1657446814653825,1.792389903901386,1.8237508646214975,0.9123466895240592,0.9913275055570024
992,1.7957978540139263,1.4734753430468033,1.7301274318947224,0.9121519822714788,0.9198864194851362
1004,2.525100864504628,2.5557502754683057,1.7526044679085386,0.9345848814227558,0.8135841045135783
1005,2.4590166336861357,2.0719196094664207,1.9626729910182996,0.935624298111378,0.9729225155384967
1007,2.1332948545999533,1.6529282604541364,1.9727512306987305,0.933738132786534,0.9117895084149042
1011,2.761979534897237,1.8245662116036756,2.805943803595047,0.9354930871128769,0.7880627428144641
1014,2.8769663477293443,2.207924094016921,2.5778923747655837,0.9279134207791466,0.9226948456628172
1015,2.2986061776855355,1.6487601832411132,3.0633320977483804,0.9364914441820018,0.6997996155096052
1021,2.934561015312742,2.6512657927150567,2.254781535340729,0.956654057006107,0.9191845836653496
1034,1.2696445321500165,1.1295484986989197,1.094189731597566,0.9102173555078394,0.9840994022499494
