sample_id,K_H_cross,log_knn_radius,local_label_variance,local_evaluation_count,mse_L,mse_UQ,mse_BS,mse_FQ,mse_FQ_minus_BS,mse_G,mse_P,delta_Q,delta_BS,delta_FQ,delta_normal,dMSE_G_to_P,mae_L,mae_UQ,r2_L,r2_UQ,A_B,A_B_A,A_B_B,gamma_fold_cosine,n_eval
695,0.02489529784736348,-0.6234641983111384,0.5164680228861388,2048.0,0.2613286614264356,0.2467474023462212,0.24755398617907215,0.24749926537820585,0.2610638281502294,0.36173833607969597,0.4810573343252301,0.014581259080214432,0.013774675247363477,0.013829396048229775,0.01356456277202353,-0.11931899824553416,0.3863960124711161,0.3755334200750142,0.4940080511353392,0.5222406975608257,1.8650879956407338,1.539027334795479,1.7805105664141134,0.9189112096074947,2048
696,0.013531429516563448,-0.8098210601269338,0.37802070216473904,2048.0,0.15966694852973343,0.1453115095820373,0.14611852879708348,0.14609933219998517,0.15944876818627213,0.23690652410006896,0.3454023648317221,0.014355438947696114,0.013548419732649947,0.013567616329748261,0.013349435986286962,-0.10849584073165314,0.30488347561557183,0.28634046504247745,0.5776237978094872,0.6155990697072684,3.2322320974294647,2.8645877708702963,2.523672317718492,0.9183057991663619,2048
698,0.023878708118348305,-0.7081999908056983,0.283455770849665,2048.0,0.11551462320178513,0.1056798974104162,0.10708611852840073,0.10708238105431604,0.115284798952002,0.18473700909591928,0.2516025046602839,0.009834725791368931,0.008428504673384393,0.008432242147469085,0.008202417897685957,-0.06686549556436461,0.2629821196698058,0.2468067029108252,0.5924774335850441,0.6271732373144553,2.3730336012082693,2.018592855544185,1.9909832199159694,0.9211917922115027,2048
701,0.022575404949175242,-0.4712683332183005,0.8123811362904612,2048.0,0.405890394953487,0.36409142279790013,0.3612813921192758,0.3612918108592953,0.4038365119923784,0.5616645717497715,0.7170679250233958,0.041798972155586867,0.04460900283421121,0.04459858409419171,0.04254470113308312,-0.1554033532736243,0.4722725159575566,0.4463732502540093,0.5003694979835626,0.5518219139597035,2.347244230181807,1.9911806950462982,1.8940616739350944,0.9188626759384844,2048
707,0.026742794358771322,-0.7391363392122539,0.4537741187254288,2048.0,0.2179097850664911,0.2059693125019187,0.20226952868548176,0.20224728626907668,0.217746729739665,0.3064340247717747,0.4211963530302989,0.011940472564572424,0.015640256381009354,0.015662498797414437,0.01549944347058832,-0.11476232825852417,0.3476673729030819,0.3346165851716679,0.5197835749677369,0.546097267335453,2.7876584564560156,2.4183725214618206,2.1722100538111353,0.8861077575921263,2048
708,0.016961456948289332,-0.8579087477615956,0.3755215925335028,2048.0,0.1328152684850136,0.12240438690426435,0.12172990013338697,0.1217114577410151,0.13263623797548366,0.22415314124209118,0.335624514632213,0.010410881580749251,0.011085368351626629,0.011103810743998493,0.01092478023446855,-0.11147137339012181,0.2827505496891615,0.26714305827379725,0.6463178918981489,0.6740416813892165,2.7871039861947153,2.3891193426153268,2.273445735549636,0.923427530329675,2048
715,0.04135444790280566,-0.34966986725459775,0.7176331227238699,2048.0,0.5416017395953312,0.5232222600868319,0.5251214580980539,0.5245744232572532,0.5379024872660123,0.600370970601563,0.6788581609400411,0.018379479508499275,0.016480281497277316,0.01702731633807797,0.013328064008759077,-0.07848719033847817,0.5282667289404963,0.509127523094894,0.24529439563824573,0.2709056431218312,1.1360845458455042,0.9879582180831875,0.9950019433068084,0.8952616443291888,2048
717,0.01701977864338295,-0.7705228221726006,0.28793218948547894,2048.0,0.14736265316131095,0.1269763684178906,0.13200956476869705,0.13200465607225953,0.14728815897129213,0.20079989979911073,0.2724081341642134,0.020386284743420358,0.0153530883926139,0.015357997089051417,0.015283502899032603,-0.07160823436510266,0.29782360739817026,0.27712464970989464,0.4882036168840971,0.5590059984443168,2.8794204056342383,2.0223191024454863,2.920496939786422,0.9354840288872408,2048
734,0.02510308982351611,-0.7228609639066246,0.5462184572613321,2048.0,0.271944366527599,0.25201446458257226,0.2530853209899614,0.25301764819417877,0.2717796048718908,0.379558727056013,0.5061049958744237,0.01992990194502675,0.01885904553763762,0.018926718333420245,0.01876195667771202,-0.1265462688184107,0.3897870050285359,0.37107283069228103,0.5021325938140346,0.5386196470801448,2.54604174752959,1.7947671176276363,2.5469889388556823,0.9202079871188134,2048
737,0.02103385182582713,-0.6815815212878991,0.31376990007608296,2048.0,0.13102015839030778,0.12430986258018242,0.12458097223943868,0.12462806988794911,0.13082400045646594,0.19763573446153915,0.2796662605593012,0.006710295810125361,0.006439186150869108,0.006392088502358673,0.006195930568516833,-0.08203052609776207,0.28245545708398523,0.2706519898219082,0.5824323545421725,0.6038183951040563,2.0890143606813396,1.8638774997717034,1.9845003716298208,0.9115756560227553,2048
740,0.02654858747199832,-0.6590034726138091,0.8819098770762236,2048.0,0.3510617919750165,0.32199709707608404,0.3221590574753201,0.32206823725274725,0.3508982594384794,0.6081432312535155,0.76388660293368,0.029064694898932486,0.028902734499696436,0.028993554722269277,0.028830022185732163,-0.1557433716801645,0.4156784426837111,0.39274403743724423,0.6019300825398577,0.6348866188645104,2.4285649123844375,2.2517211312774164,1.9671339057182438,0.9119126684572956,2048
758,0.038757584838630475,-0.3911061035978881,0.7820349403002975,2048.0,0.5383683964292494,0.5220393377582598,0.5130695040250055,0.51293216810617,0.5342492017851477,0.6397818030126494,0.7174495467770052,0.01632905867098955,0.025298892404243878,0.025436228323079346,0.021317033678977637,-0.07766774376435581,0.510739037114579,0.49562308599163296,0.3115801242556776,0.3324603405088278,1.645911775172198,1.3908278132800989,1.4395686101155858,0.8862424848450479,2048
760,0.03431461191914451,-0.2714157846870196,0.657434840854353,2048.0,0.5023863174800798,0.4828751218273495,0.48857225646031777,0.4880971818108365,0.4975088728819902,0.5681090795333179,0.6246774552253336,0.019511195652730295,0.013814061019762014,0.01428913566924328,0.009411691071153694,-0.05656837569201567,0.5007956740787649,0.480057098236221,0.23583861660386574,0.2655163799961663,1.0164492657839383,0.9026680042885705,0.9936387166664647,0.90219538560736,2048
762,0.017929304807880707,-0.6930003254989511,0.5701705967416104,2048.0,0.24073458063141712,0.22357997938208346,0.22041373819921098,0.22042345432604138,0.24044322257819079,0.3705201018921116,0.5159190290464417,0.017154601249333656,0.020320842432206138,0.020311126305375737,0.020019768252149406,-0.14539892715433012,0.36725916284567656,0.35098018634870165,0.5777849962675065,0.6078717831824546,2.5684190556274693,2.077846115855702,2.320685567189259,0.9098968574248938,2048
766,0.018699645035708385,-0.7052428321949489,0.43115285353166233,2048.0,0.19680789200493917,0.17240341880689852,0.17392755472592708,0.17391843615115568,0.19654351066699094,0.277236225104883,0.39408482856066795,0.02440447319804065,0.022880337279012092,0.02288945585378349,0.02262507451583526,-0.11684860345578496,0.33823704024779067,0.3106032175796531,0.5435310461409568,0.6001338796793146,3.187428578307554,2.6023389590241064,2.6939200220417283,0.9289488463535521,2048
774,0.03881110812092133,-0.2626508310116611,0.3096860523582793,2048.0,0.19733307099546515,0.17586461071635978,0.17961529091931905,0.17955928223122236,0.19518745425272427,0.22938232070019193,0.28673701576789734,0.021468460279105372,0.017717780076146106,0.017773788764242793,0.015628172021501907,-0.05735469506770541,0.33483755949999305,0.31558148593475743,0.36279638849486096,0.4321196922588556,1.9790127472273042,1.8355099984945353,1.4322169596048204,0.9321956905998128,2048
778,0.02211122295406797,-0.8196732259240559,0.33018350620307113,2048.0,0.1679998515236135,0.14960179862162942,0.15086697915757796,0.15085870782989946,0.16797807426236908,0.22677972867103202,0.30951951729122273,0.01839805290198407,0.01713287236603553,0.017141143693714028,0.017119366432469613,-0.08273978862019071,0.3158010732222898,0.2960727473358465,0.49119247822061296,0.5469131685529423,3.0859033446189783,2.751673291262149,2.4490807131403316,0.9239984898381168,2048
782,0.02720045571891399,-0.6089051411542766,0.4479736835133183,2048.0,0.2213506702378249,0.18928558605185097,0.1938130684782036,0.1937635925805131,0.2210192524394648,0.2920524336857726,0.40850717321718805,0.032065084185973924,0.027537601759621305,0.027587077657311804,0.027255659858951703,-0.11645473953141544,0.35506616693343196,0.32533494843363586,0.5058846571034252,0.5774627103821302,2.5242343015702677,2.089262228168186,2.163180518964265,0.931398411179112,2048
