estimator,target,cell,rho_estimator,rho_random_mean,rho_density,rho_radius,rho_clean_reference,rho_after_density_radius
Q K_dir vs T2,K_dir_T2,F4_S0_N2,0.37715201465201464,-0.01169528388278388,0.1311355311355311,-0.3199175824175824,0.16616300366300366,0.4619047619047619
Q K_H vs T3,K_H_T3,F4_S0_N2,0.21117216117216114,-0.056128663003663,0.11446886446886446,-0.21648351648351644,0.4342490842490842,0.25347985347985347
Q K_H vs pointwise,K_H_pw,F4_S0_N2,0.1927197802197802,-0.03706845238095238,0.04624542124542124,-0.3255952380952381,0.46506410256410247,0.26103479853479855
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N2,0.1927197802197802,-0.03706845238095238,0.04624542124542124,-0.3255952380952381,0.46506410256410247,0.26103479853479855
D-full,H_E_norm,F4_S0_N3,0.16277472527472525,-0.014310897435897436,0.04624542124542124,-0.26753663003663003,-0.07861721611721612,
D-full residualized,H_S_from_HE,F4_S0_N3,0.18149319252199464,-0.01858371841175521,0.04624542124542124,-0.26753663003663003,-0.03427419595949699,
D-residual,H_S_norm,F4_S0_N3,0.7616758241758241,-0.014088827838827834,0.04624542124542124,-0.26753663003663003,0.8193223443223443,
D-residual Scal,Scal,F4_S0_N3,0.7807692307692307,-0.011611721611721611,-0.011217948717948716,-0.12225274725274723,0.8617673992673993,
Q K_H vs T2,K_H_T2,F4_S0_N3,0.3754578754578754,0.0038209706959706964,-0.03823260073260073,-0.3507326007326007,0.5232142857142856,0.4068681318681318
Q K_dir vs T2,K_dir_T2,F4_S0_N3,0.22889194139194136,-0.0035966117216117226,0.1229395604395604,-0.28997252747252744,0.16616300366300366,0.25347985347985347
Q K_H vs T3,K_H_T3,F4_S0_N3,0.3363095238095238,0.00338141025641025,0.1129120879120879,-0.1936355311355311,0.4342490842490842,0.33827838827838824
Q K_H vs pointwise,K_H_pw,F4_S0_N3,0.3674450549450549,-0.004005265567765565,0.04624542124542124,-0.26753663003663003,0.46506410256410247,0.3809981684981684
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N3,0.3674450549450549,-0.004005265567765565,0.04624542124542124,-0.26753663003663003,0.46506410256410247,0.3809981684981684
D-full,H_E_norm,F4_S3_N4,0.3344322344322344,-0.0011504120879120895,0.04624542124542124,0.0016483516483516481,-0.07861721611721612,
