global_scale_factor,median_est_over_truth,log_slope,rel_abs_err_calibrated,rel_sq_err_calibrated,spearman_test_raw,spearman_test_calibrated,n_train,n_test,estimator,target,cell,scope,global_scale_factor_applied
0.006636903290464911,0.0031580485644675535,0.620726130704832,0.6595807276865538,0.43524550129830875,0.4160557184750733,0.4160557184750733,32,32,Q K_H vs pointwise,K_H_pw,F4_S0_N1,apply_clean_factor,0.006947273404217768
0.006636903290464913,0.00315804856446755,0.6207261307048327,0.659580727686554,0.43524550129830897,0.4160557184750733,0.4160557184750733,32,32,Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N1,apply_clean_factor,0.006947273404217767
1.0027801717698628,1.0067900745493916,-0.19022768383037764,0.010462337186908574,0.00011039278242844092,-0.23973607038123165,-0.23973607038123165,32,32,D-full,H_E_norm,F4_S0_N2,apply_clean_factor,1.005007781342296
1.7706682760022028,2.0550576681978274,-6.856971597105601,1.0,1.0,-0.2246473027222218,-0.2246473027222218,32,32,D-full residualized,H_S_from_HE,F4_S0_N2,apply_clean_factor,2.570617345138963
1.0316265941488882,1.0080386884320967,0.7064943626499649,0.0803152782542763,0.0064566422703670225,0.7965542521994134,0.7965542521994134,32,32,D-residual,H_S_norm,F4_S0_N2,apply_clean_factor,1.020424254827753
1.0001497158202177,0.9999017462939943,0.6884459792478017,0.000484189738683382,2.3481535687852476e-07,0.7818914956011729,0.7818914956011729,32,32,D-residual Scal,Scal,F4_S0_N2,apply_clean_factor,1.0000790113751137
-0.006049227754403244,-0.003588869911523215,-0.08808503757430391,1.2228072074181147,1.4953003507703575,0.17082111436950145,-0.17082111436950145,32,32,Q K_H vs T2,K_H_T2,F4_S0_N2,apply_clean_factor,0.021143094257287227
0.08422701315442474,0.08633946038450452,0.13857998753766249,0.24997568260568323,0.0626276481835549,0.3383431085043988,0.3383431085043988,32,32,Q K_dir vs T2,K_dir_T2,F4_S0_N2,apply_clean_factor,0.6434630059223523
-0.0060403085868379666,-0.004049181253246762,-0.13520984442581038,0.9652497345937365,0.935808747169194,0.11436950146627566,-0.11436950146627566,32,32,Q K_H vs T3,K_H_T3,F4_S0_N2,apply_clean_factor,0.015991461902212328
-0.002604997578130177,-0.0018846112407116529,-0.169753903135187,1.1287408745271597,1.2764351189955105,0.17705278592375365,-0.17705278592375365,32,32,Q K_H vs pointwise,K_H_pw,F4_S0_N2,apply_clean_factor,0.006947273404217768
-0.002604997578130178,-0.0018846112407116542,-0.16975390313518637,1.128740874527161,1.2764351189955134,0.17705278592375365,-0.17705278592375365,32,32,Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N2,apply_clean_factor,0.006947273404217767
1.0003920723616926,0.9946075145227506,0.3652826549395506,0.00678947645047966,4.609765641977161e-05,-0.0157624633431085,-0.0157624633431085,32,32,D-full,H_E_norm,F4_S0_N3,apply_clean_factor,1.005007781342296
1.141986089545272,0.0,4.060451355151824,1.0,1.0,0.019783053897934177,0.019783053897934177,32,32,D-full residualized,H_S_from_HE,F4_S0_N3,apply_clean_factor,2.570617345138963
1.0598807377033552,1.0423106041664396,0.769255071122521,0.10501236680558682,0.011055620963714683,0.7947214076246334,0.7947214076246334,32,32,D-residual,H_S_norm,F4_S0_N3,apply_clean_factor,1.020424254827753
