estimator,target,cell,fixture,sampling,noise,condition,n,mean,sd,median_abs,iqr,cv,r_iqr,tol,analytic_constant,rank_target_degenerate,spearman,kendall_tau,pairwise_acc,rank_rmse,pearson,rank_band,pair_band,q_top_precision,q_top_recall,q_top_jaccard,q_p_high_above_low,q_roc_auc_top_bottom,q_chance_precision,q_chance_roc_auc,q_n_high,q_n_low
Q K_H vs pointwise,K_H_pw,F4_S0_N2,F4,S0,N2,moderate normal noise,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False,0.1927197802197802,0.14285714285714285,0.5714285714285714,23.47272353179324,0.3054278009714443,weak,weak,0.3125,0.3125,0.18518518518518517,0.6640625,0.6640625,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N2,F4,S0,N2,moderate normal noise,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False,0.1927197802197802,0.14285714285714285,0.5714285714285714,23.47272353179324,0.3054278009714444,weak,weak,0.3125,0.3125,0.18518518518518517,0.6640625,0.6640625,0.25,0.5,16,16
D-full,H_E_norm,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True,0.16277472527472525,0.10813492063492063,0.5540674603174603,23.904105295952828,0.06154123145625247,degenerate_target,weak,0.3125,0.3125,0.18518518518518517,0.61328125,0.61328125,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False,0.18149319252199464,0.1279619826583191,0.43253968253968256,22.891046284519195,0.13550233138463302,weak,weak,0.3125,0.3125,0.18518518518518517,0.63671875,0.63671875,0.25,0.5,16,16
D-residual,H_S_norm,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False,0.7616758241758241,0.6279761904761905,0.8139880952380952,12.75367594068471,0.6610261593420008,strong,strong,0.75,0.75,0.6,0.9375,0.9375,0.25,0.5,16,16
D-residual Scal,Scal,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False,0.7807692307692307,0.6646825396825397,0.8323412698412699,12.232129822725067,0.7249247611631833,strong,strong,0.8125,0.8125,0.6842105263157895,0.9453125,0.9453125,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,0.0012108539229711873,0.0017402287248503027,0.0007621459936760853,0.0007216667107642454,1.4371912997919245,0.9468877561587872,1e-06,False,False,0.3754578754578754,0.26884920634920634,0.6344246031746031,20.645822822062577,0.24726607991405247,weak,weak,0.375,0.375,0.23076923076923078,0.71875,0.71875,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,0.0023070376135437593,0.0024456287483351114,0.001343146848058668,0.0013653855397498737,1.0600732007651985,1.0165571550920076,1e-06,False,False,0.22889194139194136,0.1626984126984127,0.5813492063492064,22.94082060432887,0.33215229736456264,weak,weak,0.375,0.375,0.23076923076923078,0.6953125,0.6953125,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,0.0013460249866824238,0.0015643672719584485,0.0010545307128598154,0.000894162022525575,1.162212653014685,0.847924115223486,1e-06,False,False,0.3363095238095238,0.2361111111111111,0.6180555555555556,21.28306251459127,0.3959920613829693,weak,weak,0.375,0.375,0.23076923076923078,0.72265625,0.72265625,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False,0.3674450549450549,0.26686507936507936,0.6334325396825397,20.777842765792602,0.3979856504907388,weak,weak,0.5,0.5,0.3333333333333333,0.6875,0.6875,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S0_N3,F4,S0,N3,moderate isotropic noise,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False,0.3674450549450549,0.26686507936507936,0.6334325396825397,20.777842765792602,0.39798565049073903,weak,weak,0.5,0.5,0.3333333333333333,0.6875,0.6875,0.25,0.5,16,16
D-full,H_E_norm,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,16.024222815102963,0.025374051173762253,16.01860250815193,0.013528374358642736,0.0015834809255051933,0.0008445414855482712,0.0016024222815102965,False,True,0.3344322344322344,0.23115079365079363,0.6155753968253969,21.313141485947114,0.19073997757782504,degenerate_target,weak,0.4375,0.4375,0.28,0.74609375,0.74609375,0.25,0.5,16,16
D-full residualized,H_S_from_HE,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,0.8119608019258446,0.344860152579405,0.7717600431796618,0.2872298005529075,0.424725124366873,0.3721750083991711,8.119608019258447e-05,False,False,0.2637635971528983,0.19835349756503895,0.373015873015873,20.93442141545832,0.18924016610481817,weak,weak,0.4375,0.4375,0.28,0.666015625,0.666015625,0.25,0.5,16,16
D-residual,H_S_norm,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,0.8119608019258403,0.34486015257939956,0.7717600431795983,0.28722980055291913,0.42472512436686854,0.37217500839921686,8.119608019258403e-05,False,False,0.7369047619047618,0.5714285714285714,0.7857142857142857,13.400093283257396,0.8488805954474467,moderate,moderate,0.875,0.875,0.7777777777777778,0.96875,0.96875,0.25,0.5,16,16
D-residual Scal,Scal,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,240.49946218092725,0.6955025004606221,240.4262100078681,0.40077592371011406,0.002891908755859895,0.0016669394060530953,0.024049946218092727,False,False,0.7635073260073258,0.5753968253968254,0.7876984126984127,12.704575947271913,0.9054589844770121,strong,moderate,0.8125,0.8125,0.6842105263157895,0.94921875,0.94921875,0.25,0.5,16,16
Q K_H vs T2,K_H_T2,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,0.0012531551512790238,0.0022315508155653333,0.0005189183727886998,0.0007710634371838475,1.7807458330335004,1.4859050596998509,1e-06,False,False,0.0695970695970696,0.04761904761904762,0.5238095238095238,25.199206336708304,-0.0708855163964826,weak,weak,0.3125,0.3125,0.18518518518518517,0.5390625,0.5390625,0.25,0.5,16,16
Q K_dir vs T2,K_dir_T2,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,0.002607329570716993,0.0033684248658722256,0.0012994833155560086,0.0022200572094459832,1.2919060568373149,1.7084153225835566,1e-06,False,False,-0.04812271062271061,-0.03670634920634921,0.4816468253968254,26.745910902416465,-0.06599367570161843,weak,weak,0.3125,0.3125,0.18518518518518517,0.50390625,0.50390625,0.25,0.5,16,16
Q K_H vs T3,K_H_T3,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,0.0010899852424113223,0.0012891370197490276,0.00080810634982882,0.000840823810039437,1.1827105252493335,1.040486576026857,1e-06,False,False,0.13076923076923075,0.0873015873015873,0.5436507936507936,24.3567239176372,0.08267990335986188,weak,weak,0.25,0.25,0.14285714285714285,0.56640625,0.56640625,0.25,0.5,16,16
Q K_H vs pointwise,K_H_pw,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,0.0030326195722678163,0.0031867767993807084,0.0023266654056068375,0.001692993969470282,1.050833024844847,0.7276482319558405,1e-06,False,False,0.22449633699633695,0.1498015873015873,0.5749007936507936,23.006113317985722,0.13810336523985675,weak,weak,0.375,0.375,0.23076923076923078,0.65625,0.65625,0.25,0.5,16,16
Q K_H vs pointwise H_S2,H_S2_pw,F4_S3_N4,F4,S3,N4,non-uniform sparse + heteroscedastic noise,64,0.0030326195722678168,0.003186776799380706,0.0023266654056068375,0.0016929939694702817,1.0508330248448459,0.7276482319558404,1e-06,False,False,0.22449633699633695,0.1498015873015873,0.5749007936507936,23.006113317985722,0.1381033652398569,weak,weak,0.375,0.375,0.23076923076923078,0.65625,0.65625,0.25,0.5,16,16
D-full,H_E_norm,F0_S0_N0,F0,S0,N0,F0_S0_N0,64,16.0,2.087466737751964e-15,16.0,1.7763568394002505e-15,1.304666711094896e-16,1.1102230246250873e-16,0.0016,True,True,-0.1403802017080061,-0.1033561498809239,0.4355212355212355,26.722240269109175,0.03391493145885717,degenerate_target,weak,0.5,0.20512820512820512,0.1702127659574468,0.37333333333333335,0.37333333333333335,0.25,0.5,39,25
