cell,fixture,sampling,noise,anchor_i,sample_id,K_H_T2,K_dir_T2,K_H_T3,K_dir_T3,K_H_pw,K_dir_pw,q_n_eff,q_design_cond,radius_lat,s_x,rms_eps
F0_S0_N0,F0,S0,N0,29,100189,8.173180240637115e-33,1.834188118652089e-32,3.536143230860485e-32,5.374790151393172e-32,1.7588007789858135e-31,1.8898773225013982e-31,1024,85.64385924519928,1.0044561460098302,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,30,100184,2.9453098630529357e-33,1.0756826077142414e-32,1.298331095018623e-32,3.1904183392158845e-32,1.4420348070895173e-31,1.5147325044939162e-31,1024,72.36276484441687,0.9093122857128233,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,31,100204,1.0463479866054338e-32,3.8674815943535706e-32,5.25908164232706e-32,8.15292706325143e-32,4.801048443490839e-31,5.11420575431452e-31,1024,329.71554362971983,1.4265939667455738,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,32,100252,1.7898867000921536e-32,3.809793740873998e-32,4.2068118246970065e-32,6.724721140864376e-32,1.7988221951979223e-31,2.025957915158013e-31,1024,204.7829325248447,1.274458480517048,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,33,100081,8.858942969030537e-33,2.3359580903005425e-32,2.7787880437070157e-32,4.816109160251964e-32,1.3486511102499773e-31,1.469946282106123e-31,1024,145.371000725933,1.1381662745542793,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,34,100176,3.357260206104035e-32,6.237349424227845e-32,5.761015783155476e-32,1.0193604232311525e-31,2.4813029975532203e-31,2.8305831377014153e-31,1024,333.34284889607875,1.4367601990795449,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,35,100168,6.2125919426109e-33,2.2382426857597498e-32,6.090961202306508e-32,1.080870382480321e-31,9.3584479073303e-32,1.1109454898742984e-31,1024,166.27347190322482,1.200176280516652,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,36,100038,4.734204593796012e-33,1.435985797443156e-32,1.5793475879319939e-32,4.3200369592030485e-32,1.9088936243695425e-31,1.9945616646395333e-31,1024,86.66368597248434,0.9918151992566915,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,37,100135,6.802075450990047e-33,1.6532573011718582e-32,2.8340049623314705e-32,5.59707951249362e-32,2.077237150557538e-31,2.203186062461039e-31,1024,98.71362178717537,1.0227371138609591,0.9998950659548889,0.0
F0_S0_N0,F0,S0,N0,38,100106,4.992432174902937e-32,9.348430299758913e-32,3.827838344977064e-32,7.610249174822967e-32,8.540773403127815e-31,8.942646610825716e-31,1024,492.8579496098306,1.5768823935729683,0.9998950659548889,0.0
