shape,intrinsic_dimension,snr_db,observed_support_dimension,method,mean,std,absolute_relative_error_percent
linear,20,30.0,256,shannon_entropy,20.17213258054568,0.0017781086145852608,0.860662902728393
linear,20,30.0,256,renyi_eff_dimensionality_alpha_2,19.9954753513993,0.003512353019954313,0.0226232430035056
linear,20,30.0,256,renyi_eff_dimensionality_alpha_3,19.965699133400594,0.005279676986242637,0.17150433299703005
linear,20,30.0,256,renyi_eff_dimensionality_alpha_4,19.9421288515599,0.007058460144104027,0.2893557422005033
linear,20,30.0,256,renyi_eff_dimensionality_alpha_5,19.920184800390206,0.008847377357184555,0.39907599804897
linear,20,30.0,256,geometric_mean_eff_dimensionality,484.4329046988287,0.1736960333291989,2322.1645234941434
linear,20,30.0,256,mle_dimensionality,19.067510341798585,0.063133226040606,4.662448291007082
linear,20,30.0,256,two_nn_dimensionality,18.14820999668184,0.3239673897968904,9.258950016590806
linear,20,30.0,256,danco_dimensionality,7.430218979818752,0.06086791879615536,62.84890510090624
linear,20,30.0,256,mind_mli_dimensionality,1.9982652421940184,0.1368791676457231,90.0086737890299
linear,20,30.0,256,mind_mlk_dimensionality,17.617595910669838,0.08881088193793873,11.912020446650807
linear,20,30.0,256,ess_dimensionality,0.2689091421033366,0.0010959961065068274,98.65545428948332
linear,20,30.0,256,tle_dimensionality,19.067510341798588,0.06313322604060738,4.66244829100706
linear,20,30.0,256,isomap_dimensionality,19.8,0.4472135954999579,1.0000000000000009
linear,20,20.0,256,pca_explained_variance_95,20.0,0.0,0.0
linear,20,20.0,256,participation_ratio,20.327917531050435,0.0040733325644948725,1.6395876552521838
linear,20,20.0,256,shannon_entropy,21.5196096796148,0.0031280737799390295,7.598048398073987
linear,20,20.0,256,renyi_eff_dimensionality_alpha_2,20.32791753105044,0.004073332564498267,1.6395876552521838
linear,20,20.0,256,renyi_eff_dimensionality_alpha_3,20.214819764726865,0.005893860420641215,1.0740988236343174
linear,20,20.0,256,renyi_eff_dimensionality_alpha_4,20.163705341997645,0.007770144968129881,0.8185267099882321
linear,20,20.0,256,renyi_eff_dimensionality_alpha_5,20.128172098306507,0.009659511582180032,0.6408604915325355
linear,20,20.0,256,geometric_mean_eff_dimensionality,58.50715754403543,0.05491571655235817,192.53578772017715
linear,20,20.0,256,mle_dimensionality,19.652916873705752,0.08278079011629101,1.7354156314712377
linear,20,20.0,256,two_nn_dimensionality,18.56962305731626,0.16441633919646217,7.151884713418699
linear,20,20.0,256,danco_dimensionality,7.334627978117735,0.056842994255290206,63.32686010941133
linear,20,20.0,256,mind_mli_dimensionality,2.039811401312233,0.122456760679152,89.80094299343884
linear,20,20.0,256,mind_mlk_dimensionality,18.130591897406276,0.08491109739777657,9.347040512968618
linear,20,20.0,256,ess_dimensionality,0.26432525848694344,0.0010156675441710017,98.67837370756529
linear,20,20.0,256,tle_dimensionality,19.652916873705752,0.08278079011628965,1.7354156314712377
linear,20,20.0,256,isomap_dimensionality,20.0,0.0,0.0
linear,20,10.0,256,pca_explained_variance_95,101.0,0.0,405.0
linear,20,10.0,256,participation_ratio,23.753258705391318,0.006904398068059988,18.76629352695658
linear,20,10.0,256,shannon_entropy,32.71509343522744,0.015694001188626457,63.57546717613718
linear,20,10.0,256,renyi_eff_dimensionality_alpha_2,23.753258705391296,0.006904398068077858,18.76629352695649
