dataset,method,scheme,full_value,iterations,mean,std,median,q025,q975,min,max,cv,median_ratio_to_full
legacysurvey_dinov3_vitl16,participation_ratio,contiguous_region,9.240832884232484,12,9.055326296421278,0.45144829408132847,9.023807828743092,8.445793110310598,9.803354157022927,8.41548136597061,9.889253510279715,0.049854448012518746,0.9765145568361376
legacysurvey_dinov3_vitl16,shannon_entropy,bootstrap_deduplicated,25.98117566399227,100,25.97401238299939,0.05192362782983278,25.978286171918278,25.87685845923468,26.066358291919077,25.846084296612883,26.08996079613075,0.001999060717466125,0.9998887851684864
legacysurvey_dinov3_vitl16,shannon_entropy,sparse_10pct,25.98117566399227,25,25.76507109454466,0.20196572832373774,25.761305487635124,25.445760149087526,26.22744482338013,25.441993357834214,26.292453269872272,0.007838741355792368,0.9915373276713622
legacysurvey_dinov3_vitl16,shannon_entropy,contiguous_region,25.98117566399227,12,24.94270911383818,1.355076077703117,25.133128267782915,22.888495028579154,26.66378344067516,22.836353938454664,26.762423647257663,0.05432754202915844,0.9673591600635425
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_2,bootstrap_deduplicated,9.240832884232528,100,9.243866734334011,0.022544316517365413,9.244784892003072,9.198433220965189,9.284239235909507,9.187836339513096,9.291723860167314,0.00243884049449028,1.0004276679191209
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_2,sparse_10pct,9.240832884232528,25,9.23993820091405,0.08157636811984516,9.236454291002767,9.107051407502528,9.432553051662763,9.104109378726356,9.449100938134412,0.00882867031640702,0.9995261689844828
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_2,contiguous_region,9.240832884232528,12,9.05532629642128,0.45144829408133236,9.023807828743125,8.445793110310605,9.803354157022946,8.415481365970624,9.889253510279763,0.04985444801251916,0.9765145568361366
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_3,bootstrap_deduplicated,6.978011350260262,100,6.980737425228359,0.019637953806306372,6.981993082898992,6.9408437888568955,7.017210880347675,6.931882871486681,7.024306614497805,0.0028131632247525716,1.0005706113731931
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_3,sparse_10pct,6.978011350260262,25,6.980186684689155,0.07078001238823096,6.9748440234457565,6.865221375060283,7.150592806457826,6.859960452644045,7.161310782791841,0.010140131716460384,0.9995460989305517
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_3,contiguous_region,6.978011350260262,12,6.871785112143066,0.3132757192271584,6.820614898611296,6.469380017705087,7.4241033567049195,6.450742891404031,7.506402482459122,0.04558869553030287,0.9774439387171396
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_4,bootstrap_deduplicated,6.104759681662899,100,6.107287109027266,0.018818681354745063,6.108085288681179,6.070183269725656,6.143682170573425,6.061245910288699,6.1505620974878505,0.003081348726332009,1.0005447564182206
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_4,sparse_10pct,6.104759681662899,25,6.1073909039502645,0.06805404889434243,6.101316121261697,5.99745957886217,6.271412373634691,5.989289413433654,6.280677587484111,0.011142900456940627,0.9994359220377593
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_4,contiguous_region,6.104759681662899,12,6.024356203739941,0.2572943353890769,5.9806982513910185,5.705091942412607,6.496612018293326,5.691507987781859,6.5625071320064565,0.04270901764230802,0.9796779174380068
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_5,bootstrap_deduplicated,5.633247668068561,100,5.635638172985674,0.018331073667346407,5.6362050422974885,5.599329988027454,5.671813301555996,5.59137280721825,5.679153953025649,0.003252705923388777,1.0005249856571532
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_5,sparse_10pct,5.633247668068561,25,5.636130256622687,0.06650184359878986,5.630468666831289,5.528656253343599,5.795763309512042,5.519343769254467,5.80431429754372,0.011799202745651136,0.9995066786690341
legacysurvey_dinov3_vitl16,renyi_eff_dimensionality_alpha_5,contiguous_region,5.633247668068561,12,5.565351128221856,0.22690632445687592,5.513579169170707,5.291599843873991,5.989211022189907,5.280931897389686,6.045283258942824,0.04077125040794561,0.9787567481585832
legacysurvey_dinov3_vitl16,geometric_mean_eff_dimensionality,bootstrap_deduplicated,23.050088222142023,100,23.226390904620516,0.04838674020634925,23.22258347378012,23.135459752893404,23.325643717801928,23.114570921478517,23.35577867680153,0.002083265557918578,1.0074834963743173
legacysurvey_dinov3_vitl16,geometric_mean_eff_dimensionality,sparse_10pct,23.050088222142023,25,25.799176591247654,0.18574984183080429,25.78235113032995,25.370351797925053,26.06960832840349,25.365127641369547,26.11562372208472,0.00719983605576853,1.118535898077965
legacysurvey_dinov3_vitl16,geometric_mean_eff_dimensionality,contiguous_region,23.050088222142023,12,27.366487509630513,1.5380958777779437,26.7508595229419,25.579637191724572,29.76625670387412,25.36459007188365,29.79756184094346,0.056203627785139536,1.1605534549427408
