profile,snr_db,method,population_value,sample_mean,sample_std,relative_error_percent
exp_25,20.0,renyi_eff_dimensionality_alpha_4,39.17959666414627,38.92232885244057,0.13560014633762055,0.6566372132695397
exp_25,10.0,renyi_eff_dimensionality_alpha_4,43.23676901424132,42.97451132017319,0.17877440708835568,0.6065617298594672
flat,,renyi_eff_dimensionality_alpha_5,99.99999999999999,97.5306436124336,0.036294233219686035,2.4693563875663904
flat,30.0,renyi_eff_dimensionality_alpha_5,100.07614792872126,97.66720385659876,0.043214516167906766,2.4071111068725948
flat,20.0,renyi_eff_dimensionality_alpha_5,100.75932970139,98.310217920506,0.04128714929889091,2.430655094810752
flat,10.0,renyi_eff_dimensionality_alpha_5,107.38379660359324,104.73027753869721,0.00761915055916412,2.4710609503698966
power_0.5,,renyi_eff_dimensionality_alpha_5,35.87109193771028,35.70463517333255,0.3574285181094475,0.46404153145598315
power_0.5,30.0,renyi_eff_dimensionality_alpha_5,35.911961366262275,35.98921323860888,0.3986694300937223,0.21511460083931677
power_0.5,20.0,renyi_eff_dimensionality_alpha_5,36.27986457507023,36.27126170526086,0.42497701270594457,0.023712519079455152
power_0.5,10.0,renyi_eff_dimensionality_alpha_5,39.965177207732474,39.46417355507485,0.2931454890372547,1.253600478370176
power_1.0,,renyi_eff_dimensionality_alpha_5,7.757962834897514,7.750297925568463,0.10713129707872714,0.09880054200016586
power_1.0,30.0,renyi_eff_dimensionality_alpha_5,7.767456144323732,7.784462652756433,0.08799700353620263,0.2189456640206311
power_1.0,20.0,renyi_eff_dimensionality_alpha_5,7.852982015474615,7.852115661847326,0.05840510106497631,0.011032161102397797
power_1.0,10.0,renyi_eff_dimensionality_alpha_5,8.716482661426168,8.729915403044904,0.06450693206676712,0.15410736349170673
power_2.0,,renyi_eff_dimensionality_alpha_5,1.8483487564420664,1.843786661569035,0.013485046662005095,0.2468200255569264
power_2.0,30.0,renyi_eff_dimensionality_alpha_5,1.8506446613173002,1.8513643685744998,0.009318877175116567,0.03888954331661143
power_2.0,20.0,renyi_eff_dimensionality_alpha_5,1.871332068549228,1.876078807935858,0.01079006821772982,0.2536556427587877
power_2.0,10.0,renyi_eff_dimensionality_alpha_5,2.080544954153118,2.082166364306351,0.017121247940041197,0.07793199324994671
exp_10,,renyi_eff_dimensionality_alpha_5,14.98374269053417,14.944336132825601,0.0537073201213028,0.26299542459083947
exp_10,30.0,renyi_eff_dimensionality_alpha_5,15.00155607187817,15.051267688161769,0.07588488492960038,0.33137639885763015
