family,model,pair,size_label,size_order,parameter_count,log10_parameter_count,approx_params_m,reference_model,comparison_mode,representation,Z,hidden,n_trainable,input_dim_a,input_dim_b,n,n_common_ids,metric,k_or_keff,score,seed_std,seed_best,seed_worst,null_score,bootstrap_low,bootstrap_high
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,distance_spearman,-1,0.2548276191798004,0.015705809228609466,0.2705334284084099,0.23912180995119095,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,top1,-1,0.0008668515950069349,0.00017337031900138694,0.0010402219140083217,0.0006934812760055479,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,top10,-1,0.0076282940360610264,0.0013869625520110955,0.009015256588072122,0.0062413314840499305,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,mrr,-1,0.0051408995470157755,0.0005974212727271038,0.005738320819742879,0.004543478274288672,,,
convnext,ConvNeXtv2 Base,official_legacy_cross_convnext_base,base,2,89000000.0,7.949390006644912,89.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_sae_shared,256,512,6309888,2048,2048,16384,16384,median_rank,-1,1104.25,101.75,1206.0,1002.5,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,mknn,10,0.012118585298196947,0.00036407766990291263,0.012482662968099861,0.011754507628294036,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,mknn,100,0.06934986130374479,0.0010627600554784997,0.0704126213592233,0.0682871012482663,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,mknn,5,0.006761442441054092,0.0003120665742024965,0.007073509015256588,0.006449375866851595,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,mknn,20,0.02084778085991678,0.0008235090152565877,0.021671289875173368,0.020024271844660192,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,mknn,50,0.0411754507628294,0.0010922330097087353,0.04226768377253814,0.04008321775312067,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,cka,-1,0.17116511189945394,0.03875935982947412,0.20992447172892806,0.13240575206997982,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,distance_spearman,-1,0.1287612506987207,0.04143729946372095,0.17019855016244162,0.08732395123499972,,,
convnext,ConvNeXtv2 Large,official_legacy_cross_convnext_large,large,3,198000000.0,8.296665190261532,198.0,paired_legacysurvey_same_size,paper_same_size_cross_survey,unpaired_dense,256,512,5258240,1536,1536,16384,16384,top1,-1,0.00017337031900138697,0.00017337031900138697,0.00034674063800277393,0.0,,,
