family,model,parameter_count,log10_params,mode,k,k_frac,energy_retained,mknn,mknn_dense,mknn_full_ridge,lift,lift_frac_of_full
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,rank,16,0.015625,0.6871730533171494,0.03927372596887397,0.019743667989014342,0.045437900518767164,0.019530057979859627,0.7600950118764845
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,rank,32,0.03125,0.7999326930943904,0.04247787610619469,0.019743667989014342,0.045437900518767164,0.022734208117180348,0.8847980997624703
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,rank,64,0.0625,0.8882106522418606,0.04394263045468416,0.019743667989014342,0.045437900518767164,0.02419896246566982,0.9418052256532067
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,rank,128,0.125,0.9489788207763216,0.04488861763808361,0.019743667989014342,0.045437900518767164,0.02514494964906927,0.9786223277909739
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,rank,256,0.25,0.9847501235836388,0.045071711931644796,0.019743667989014342,0.045437900518767164,0.025328043942630454,0.9857482185273159
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,rank,1024,1.0,1.0,0.045437900518767164,0.019743667989014342,0.045437900518767164,0.025694232529752822,1.0
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,energy,7,0.0068359375,0.5,0.0274641440341776,0.019743667989014342,0.045437900518767164,0.007720476045163259,0.3004750593824228
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,energy,24,0.0234375,0.75,0.04156240463838877,0.019743667989014342,0.045437900518767164,0.021818736649374428,0.8491686460807601
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,energy,72,0.0703125,0.9,0.043698504729935916,0.019743667989014342,0.045437900518767164,0.023954836740921574,0.9323040380047506
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,energy,130,0.126953125,0.95,0.04485810192249008,0.019743667989014342,0.045437900518767164,0.02511443393347574,0.9774346793349169
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,energy,305,0.2978515625,0.99,0.045041196216051266,0.019743667989014342,0.045437900518767164,0.025297528227036924,0.9845605700712589
convnext,official_legacy_cross_convnext_base,89000000,7.949390006644912,energy,1024,1.0,1.0,0.045437900518767164,0.019743667989014342,0.045437900518767164,0.025694232529752822,1.0
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,rank,8,0.005208333333333333,0.5038221430173674,0.0316447970704913,0.02108635947512969,0.047238327738785474,0.010558437595361611,0.40373395565927656
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,rank,16,0.010416666666666666,0.6319961075395759,0.040433323161428135,0.02108635947512969,0.047238327738785474,0.019346963686298443,0.7397899649941657
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,rank,32,0.020833333333333332,0.7485376623846084,0.04479707049130302,0.02108635947512969,0.047238327738785474,0.02371071101617333,0.9066511085180864
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,rank,64,0.041666666666666664,0.8442015675689618,0.04665852914250839,0.02108635947512969,0.047238327738785474,0.0255721696673787,0.9778296382730455
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,rank,128,0.08333333333333333,0.9166128201017419,0.046872139151663106,0.02108635947512969,0.047238327738785474,0.025785779676533414,0.9859976662777129
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,rank,256,0.16666666666666666,0.9663818876599687,0.04745193774794019,0.02108635947512969,0.047238327738785474,0.026365578272810497,1.0081680280046674
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,rank,1536,1.0,1.0,0.047238327738785474,0.02108635947512969,0.047238327738785474,0.026151968263655782,1.0
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,energy,8,0.005208333333333333,0.5,0.0316447970704913,0.02108635947512969,0.047238327738785474,0.010558437595361611,0.40373395565927656
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,energy,33,0.021484375,0.75,0.04510222764723833,0.02108635947512969,0.047238327738785474,0.024015868172108636,0.9183197199533255
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,energy,107,0.06966145833333333,0.9,0.04665852914250839,0.02108635947512969,0.047238327738785474,0.0255721696673787,0.9778296382730455
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,energy,197,0.12825520833333334,0.95,0.04745193774794019,0.02108635947512969,0.047238327738785474,0.026365578272810497,1.0081680280046674
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,energy,460,0.2994791666666667,0.99,0.04739090631675313,0.02108635947512969,0.047238327738785474,0.026304546841623436,1.0058343057176196
convnext,official_legacy_cross_convnext_large,198000000,8.296665190261532,energy,1536,1.0,1.0,0.047238327738785474,0.02108635947512969,0.047238327738785474,0.026151968263655782,1.0
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,rank,8,0.020833333333333332,0.5809831299210583,0.02602990540128166,0.022886786695148,0.034543790051876716,0.003143118706133659,0.2696335078534031
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,rank,16,0.041666666666666664,0.7323584240810768,0.031309124198962465,0.022886786695148,0.034543790051876716,0.008422337503814464,0.7225130890052356
dinov2,official_legacy_cross_dino_small,22000000,7.342422680822207,rank,32,0.08333333333333333,0.8577609759450022,0.03347574000610314,0.022886786695148,0.034543790051876716,0.010588953310955142,0.9083769633507853
