family,model,parameter_count,log10_params,eps,n_total,n_active,active_fraction,geom_mean,H,H_norm,r_eff,r_eff_norm,A_log,D_sim,S_95_5,kappa_95_5,sigma_max,sigma_min_active,r50,r50_frac,r75,r75_frac,r90,r90_frac,r95,r95_frac,r99,r99_frac
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,1e-06,768,768,1.0,0.192951487883064,3.767657587738397,0.567094646138563,43.27856975813598,0.05635230437257289,1.858029794192519,0.9101174388072693,6.043691212949554,421.4458135497733,20.28164103693776,7.388707955871666e-05,6,0.0078125,22,0.028645833333333332,64,0.08333333333333333,110,0.14322916666666666,244,0.3177083333333333
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,1e-08,768,768,1.0,0.192951487883064,3.767657587738397,0.567094646138563,43.27856975813598,0.05635230437257289,1.858029794192519,0.9101174388072693,6.043691212949554,421.4458135497733,20.28164103693776,7.388707955871666e-05,6,0.0078125,22,0.028645833333333332,64,0.08333333333333333,110,0.14322916666666666,244,0.3177083333333333
vit,official_legacy_cross_vit_base,86000000,7.9344984512435675,1e-10,768,768,1.0,0.192951487883064,3.767657587738397,0.567094646138563,43.27856975813598,0.05635230437257289,1.858029794192519,0.9101174388072693,6.043691212949554,421.4458135497733,20.28164103693776,7.388707955871666e-05,6,0.0078125,22,0.028645833333333332,64,0.08333333333333333,110,0.14322916666666666,244,0.3177083333333333
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,1e-06,1024,1023,0.9990234375,0.21006945251177508,4.6439944485802815,0.6700812287450901,103.95877731356504,0.10162148319996582,1.6772027421911964,0.8644624345299811,5.378088832134273,216.60790551736014,10.1686151273956,4.247709603046634e-05,16,0.015640273704789834,56,0.05474095796676442,146,0.14271749755620725,230,0.22482893450635386,431,0.42130987292277616
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,1e-08,1024,1024,1.0,0.2079646791066394,4.643994448581196,0.6699867760883969,103.95877731366014,0.10152224347037123,1.7070436787161176,0.8646051566505168,5.400432932507409,221.50229099126932,10.1686151273956,6.983608174367128e-06,16,0.015625,56,0.0546875,146,0.142578125,230,0.224609375,431,0.4208984375
vit,official_legacy_cross_vit_large,307000000,8.487138375477187,1e-10,1024,1024,1.0,0.2079646791066394,4.643994448581196,0.6699867760883969,103.95877731366014,0.10152224347037123,1.7070436787161176,0.8646051566505168,5.400432932507409,221.50229099126932,10.1686151273956,6.983608174367128e-06,16,0.015625,56,0.0546875,146,0.142578125,230,0.224609375,431,0.4208984375
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,1e-06,1280,1280,1.0,0.20116210429646522,4.515097405114315,0.6310747929658129,91.38646709815065,0.0713956774204302,1.7170432209586053,0.8840581908868798,5.492844654516202,242.9473260254547,17.83433321323074,2.667952291825764e-05,13,0.01015625,54,0.0421875,155,0.12109375,253,0.19765625,502,0.3921875
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,1e-08,1280,1280,1.0,0.20116210429646522,4.515097405114315,0.6310747929658129,91.38646709815065,0.0713956774204302,1.7170432209586053,0.8840581908868798,5.492844654516202,242.9473260254547,17.83433321323074,2.667952291825764e-05,13,0.01015625,54,0.0421875,155,0.12109375,253,0.19765625,502,0.3921875
vit,official_legacy_cross_vit_huge,632000000,8.800717078282386,1e-10,1280,1280,1.0,0.20116210429646522,4.515097405114315,0.6310747929658129,91.38646709815065,0.0713956774204302,1.7170432209586053,0.8840581908868798,5.492844654516202,242.9473260254547,17.83433321323074,2.667952291825764e-05,13,0.01015625,54,0.0421875,155,0.12109375,253,0.19765625,502,0.3921875
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,1e-06,1280,1278,0.9984375,0.22118266819217966,3.216755597662634,0.4497039531982561,24.947050472211117,0.01952038378107286,2.0273136394290105,0.9508136732034799,6.5925478349180135,729.6374996004577,74.17136496673817,8.434009148746007e-05,3,0.002347417840375587,14,0.010954616588419406,50,0.03912363067292645,97,0.07589984350547731,262,0.20500782472613457
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,1e-08,1280,1280,1.0,0.21796830362683223,3.2167555976662956,0.44960566532173857,24.94705047230246,0.019489883181486298,2.0595572498459083,0.950892507603291,6.6338689791647685,760.4185300715702,74.17136496673817,7.702428530993405e-06,3,0.00234375,14,0.0109375,50,0.0390625,97,0.07578125,262,0.2046875
ijepa,official_legacy_cross_ijepa_huge,630000000,8.799340549453582,1e-10,1280,1280,1.0,0.21796830362683223,3.2167555976662956,0.44960566532173857,24.94705047230246,0.019489883181486298,2.0595572498459083,0.950892507603291,6.6338689791647685,760.4185300715702,74.17136496673817,7.702428530993405e-06,3,0.00234375,14,0.0109375,50,0.0390625,97,0.07578125,262,0.2046875
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,1e-06,1408,1407,0.9992897727272727,0.2274580747878402,3.61067172535833,0.49807761211537127,36.99089219158122,0.026290612787193475,2.0030524957005706,0.9392462506280987,6.507974136445901,670.4667666356884,59.21191157814272,6.552985318555606e-05,4,0.0028429282160625444,22,0.015636105188343994,74,0.052594171997157074,139,0.09879175550817342,343,0.24378109452736318
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,1e-08,1408,1408,1.0,0.22568417894973136,3.6106717253583644,0.498028801409304,36.990892191582496,0.026271940476976206,2.023763088422389,0.9392907937394015,6.52101976055851,679.2707257634005,59.21191157814272,3.709862731042252e-06,4,0.002840909090909091,22,0.015625,74,0.052556818181818184,139,0.09872159090909091,343,0.24360795454545456
ijepa,official_legacy_cross_ijepa_giant,1000000000,9.0,1e-10,1408,1408,1.0,0.22568417894973136,3.6106717253583644,0.498028801409304,36.990892191582496,0.026271940476976206,2.023763088422389,0.9392907937394015,6.52101976055851,679.2707257634005,59.21191157814272,3.709862731042252e-06,4,0.002840909090909091,22,0.015625,74,0.052556818181818184,139,0.09872159090909091,343,0.24360795454545456
