dataset_id,ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,sample_id,k,stage
physics_vit_base,,,,,,,,,,,,,,,,,,
desi_vit_base_hsc,1.0,13.0,0.2050783385091215,0.176024469796835,0.176024469796835,0.7949216614908785,0.8239755302031649,535.8849454216631,50.51348822994263,0.5550932772521168,1024.0,1024.0,91.0,221.6632811217948,45.45833740093799,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,15.0,0.1888418070672767,0.1606482314784504,0.1606482314784504,0.8111581929327232,0.8393517685215496,602.1086584561588,62.70032353049428,0.5225026960874524,1024.0,1024.0,120.0,221.6632811217948,41.8592945675015,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,16.0,0.1816120888390109,0.153758120282779,0.153758120282779,0.8183879111609891,0.846241879717221,642.4071571163508,68.65296465902208,0.5048012107281035,1024.0,1024.0,136.0,221.6632811217948,40.25673150343805,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,17.0,0.1751476194701925,0.1482315015083847,0.1482315015083847,0.8248523805298075,0.8517684984916153,678.8434603400331,74.74764367046862,0.4885466906566576,1024.0,1024.0,153.0,221.6632811217948,38.823796012434414,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,18.0,0.169616627099631,0.1433134014406755,0.1433134014406755,0.8303833729003689,0.8566865985593245,710.5444799710485,80.98931430309372,0.4736217210707235,1024.0,1024.0,171.0,221.6632811217948,37.59777809571615,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,19.0,0.1644484855377355,0.138666201973204,0.138666201973204,0.8355515144622645,0.861333798026796,746.9902951220377,87.23701600186766,0.459142189483514,1024.0,1024.0,190.0,221.6632811217948,36.45219087980447,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,32.0,0.1188326202956749,0.1002778883433489,0.1002778883433489,0.8811673797043251,0.8997221116566511,1218.3760256921787,165.33075359759675,0.3131264272681757,1024.0,1024.0,528.0,221.6632811217948,26.34082851903968,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,33.0,0.1164768468842915,0.0985502922994211,0.0985502922994211,0.8835231531157084,0.9014497077005788,1257.0028545963528,170.9114256098357,0.3046549476111153,1024.0,1024.0,561.0,221.6632811217948,25.81864005509297,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,34.0,0.1143489034974067,0.0968539061579509,0.0968539061579509,0.8856510965025932,0.903146093842049,1295.0354122239294,176.2785002773188,0.2962663870207039,1024.0,1024.0,595.0,221.6632811217948,25.34695314191465,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,35.0,0.1123279253325949,0.0952778483228635,0.0952778483228635,0.887672074667405,0.9047221516771364,1333.5510308419782,181.52471762413188,0.2881344724192569,1024.0,1024.0,630.0,221.6632811217948,24.898976490826968,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,36.0,0.1102807196253262,0.0936770059441497,0.0936770059441497,0.8897192803746738,0.9063229940558504,1368.7541282426982,187.14036631798064,0.2809915410179889,1024.0,1024.0,666.0,221.6632811217948,24.445186156622512,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,37.0,0.1084751608687879,0.0922093444329406,0.0922093444329406,0.891524839131212,0.9077906555670592,1406.8170418526877,192.38441179746496,0.2736620366962517,1024.0,1024.0,703.0,221.6632811217948,24.044960078390044,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,38.0,0.1067211952224174,0.0909017108375868,0.0909017108375868,0.8932788047775826,0.9090982891624132,1440.6266201122285,197.7012441333676,0.2668032984255973,1024.0,1024.0,741.0,221.6632811217948,23.656170298240653,3510.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,9.0,0.2123394846095533,0.1663440696702625,0.1663440696702625,0.7876605153904467,0.8336559303297375,66.01358160112316,40.18524910430598,0.8930055356512441,1024.0,1024.0,45.0,220.34308323904744,46.787536732259234,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,10.0,0.1991495051368781,0.1532202154192901,0.1532202154192901,0.8008504948631219,0.8467797845807098,71.93486497659718,48.42448796450252,0.8804452357182276,1024.0,1024.0,55.0,220.34308323904744,43.88121598739024,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,11.0,0.1881656633403413,0.1413678114774074,0.1413678114774074,0.8118343366596587,0.8586321885225925,12.3882912257414,64.29282156386259,0.974133660058524,1024.0,1024.0,66.0,220.34308323904744,41.46100242013141,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,12.0,0.17885008881366,0.1350203732020461,0.1350203732020461,0.8211499111863401,0.8649796267979539,84.86364175886473,66.78273231318029,0.8561888758100037,1024.0,1024.0,78.0,220.34308323904744,39.40838000677931,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,13.0,0.170842270576476,0.1272074579276887,0.1272074579276887,0.829157729423524,0.8727925420723113,89.42341415469556,77.29131362712505,0.849355094803572,1024.0,1024.0,91.0,220.34308323904744,37.64391264638032,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,15.0,0.1557667496422599,0.1141908165571287,0.1141908165571287,0.8442332503577401,0.8858091834428713,100.412573260883,99.3555619447221,0.8279630162060175,1024.0,1024.0,120.0,220.34308323904744,34.32212588230034,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,16.0,0.1490998560166605,0.1088129219167305,0.1088129219167305,0.8509001439833395,0.8911870780832695,105.66260106197994,111.2171853346282,0.8177734215781486,1024.0,1024.0,136.0,220.34308323904744,32.85312198520902,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,17.0,0.1434108709856835,0.1041141712329682,0.1041141712329682,0.8565891290143165,0.8958858287670317,110.82451530894846,123.69059328820364,0.808435250249697,1024.0,1024.0,153.0,220.34308323904744,31.59959348298276,19026.0,2048.0,fine_closest
desi_vit_base_hsc,1.0,18.0,0.1379834701330749,0.1007679477373062,0.1007679477373062,0.8620165298669251,0.8992320522626938,116.96177417855124,135.73345727122114,0.7937629080188371,1024.0,1024.0,171.0,220.34308323904744,30.40370324514474,19026.0,2048.0,fine_closest
