dataset_id,label,d,raw,raw_lo,raw_hi,controlled,ctl_lo,ctl_hi
physics_vit_base,mag_r_desi,34.0,-0.02167537184667961,-0.11543431894486408,0.06713617248300977,0.06967323774619197,-0.0178799855798039,0.15041976664157392
physics_vit_base,mag_r_desi,35.0,-0.0324044725917532,-0.12006735064298181,0.056571906337632955,0.08829490249596594,-0.0038881757910825027,0.17361031619194145
physics_vit_base,mag_r_desi,36.0,-0.04084175105021738,-0.12762456732775915,0.04732186259785254,0.07982499055858824,-0.013218114553751777,0.16281214144872602
physics_vit_base,mag_r_desi,37.0,0.0024926311053709636,-0.08380213264571883,0.09184502870849406,0.11573892279214017,0.023667110543250082,0.19922429652139834
physics_vit_base,mag_r_desi,38.0,-0.013301706689439308,-0.09994317257291249,0.07546890515702429,0.1105157478456415,0.023444411537970326,0.19223846252717086
physics_vit_base,mag_r_desi,39.0,-0.025763610513951,-0.11126514677866825,0.06119095192755598,0.11672097266568247,0.02790139990536366,0.19684740432428835
physics_vit_base,mag_r_desi,40.0,-0.01825125067974702,-0.10014126978780016,0.0651388389519087,0.12316902773486227,0.035345436228799536,0.20263056929719675
physics_vit_base,mag_r_desi,41.0,-0.0012013213238155976,-0.08811698116395351,0.08483760351412825,0.13659541261830374,0.04732929063006082,0.21998063652892083
physics_vit_base,mag_r_desi,42.0,0.031898740141475,-0.05138954164713792,0.11767806353952492,0.1576095275288678,0.0681857182774306,0.23715918222570684
physics_vit_base,mag_r_desi,43.0,0.01591883747429624,-0.07075470439601679,0.10349446691579701,0.13860296431718566,0.04556612172449448,0.22291637787259877
physics_vit_base,mag_r_desi,44.0,-0.006117426980099789,-0.09070611504640695,0.0785908342476917,0.11950896075805954,0.028614111283872964,0.2000326771339124
physics_vit_base,smooth_fraction,6.0,-0.03935593478559413,-0.12372976223201441,0.051091462764209915,0.07390005764983235,-0.015502519390522397,0.1647043907049906
physics_vit_base,smooth_fraction,7.0,-0.10250959161602637,-0.18913537161015564,-0.015771113030763048,0.07874942064064269,-0.0076084916632305115,0.16094612971669306
physics_vit_base,smooth_fraction,8.0,-0.02261683031780364,-0.11321402953656957,0.06556572893505908,0.0726934166180291,-0.013827722677155008,0.15385873001201814
physics_vit_base,smooth_fraction,9.0,-0.022323216717593068,-0.10903027977564997,0.06856523492662811,0.05018539499433516,-0.03890216942293359,0.14080323969263092
physics_vit_base,smooth_fraction,10.0,0.02092104190270196,-0.06432504015194766,0.11081292577744814,0.09006892230576441,0.003874644168042396,0.178333854311487
physics_vit_base,smooth_fraction,11.0,-0.05766476336388917,-0.14518410542511484,0.030501834934049253,0.014380897306050515,-0.07045178694953723,0.09407401016393711
physics_vit_base,smooth_fraction,12.0,-0.0639843401311498,-0.14889335089859088,0.0218136017744349,0.019468798995204907,-0.06522634991104945,0.10459407306192633
physics_vit_base,smooth_fraction,13.0,-0.05568546437440634,-0.1406750396694735,0.0281071405711715,-0.007144269778327096,-0.09274328716773267,0.07108680044468524
