sample_id,d,K_H_old,K_H_new,K_H_abs_diff,R_H_old,R_H_new,dS_old,dS_new,H_S_cosine,H_S_note,ridge_penalty,whitening
1173,16,0.034083411973760185,0.034083411973760185,0.0,0.5168474704527741,0.5168474704527741,0.006556251314668771,0.006556251314668771,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1174,16,0.04911790912507807,0.04911790912507807,0.0,0.6130055629725004,0.6130055629725004,0.006887866431861766,0.006887866431861766,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1180,16,0.042451399165442064,0.042451399165442064,0.0,0.5872663654115614,0.5872663654115614,0.008346597891522834,0.008346597891522834,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1181,16,0.030581193796991833,0.030581193796991833,0.0,0.461312956695465,0.461312956695465,0.007706438347941003,0.007706438347941003,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1183,16,0.01496615780891231,0.01496615780891231,0.0,0.45681635388450265,0.45681635388450265,0.003058531193210001,0.003058531193210001,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1185,16,0.04256397916476476,0.04256397916476476,0.0,0.5696015819599729,0.5696015819599729,0.007740681974973995,0.007740681974973995,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1193,16,0.02783210147718539,0.02783210147718539,0.0,0.5496436531061666,0.5496436531061666,0.0047099689997594394,0.0047099689997594394,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1200,16,0.018146905939153392,0.018146905939153392,0.0,0.4547705055774129,0.4547705055774129,0.00416273164391896,0.00416273164391896,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1205,16,0.03120709276815268,0.03120709276815268,0.0,0.5093523970047166,0.5093523970047166,0.0056066426998768295,0.0056066426998768295,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1206,16,0.02009131079527825,0.02009131079527825,0.0,0.5143299646338989,0.5143299646338989,0.00413460538934487,0.00413460538934487,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1208,16,0.023062285049722665,0.023062285049722665,0.0,0.48233112170529946,0.48233112170529946,0.005045156089272496,0.005045156089272496,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1215,16,0.018976599558161944,0.018976599558161944,0.0,0.5185992916725125,0.5185992916725125,0.0035731036232846238,0.0035731036232846238,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1220,16,0.022249620795859383,0.022249620795859383,0.0,0.49430246968128555,0.49430246968128555,0.003960910074783897,0.003960910074783897,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1225,16,0.03538351531091108,0.03538351531091108,0.0,0.595885118501685,0.595885118501685,0.005600223091278167,0.005600223091278167,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1235,16,0.01825047900292774,0.01825047900292774,0.0,0.5121422830081487,0.5121422830081487,0.0033626044851189363,0.0033626044851189363,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1237,16,0.0328661842623539,0.0328661842623539,0.0,0.6097093739171695,0.6097093739171695,0.0038649898980111174,0.0038649898980111174,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1243,16,0.021635416153719604,0.021635416153719604,0.0,0.4821595595709033,0.4821595595709033,0.0042840608867663835,0.0042840608867663835,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1246,16,0.03919349278464355,0.03919349278464355,0.0,0.545544843370138,0.545544843370138,0.007420775119317114,0.007420775119317114,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1248,16,0.027440090133514748,0.027440090133514748,0.0,0.47962612779730807,0.47962612779730807,0.007054081347359897,0.007054081347359897,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1256,16,0.02493797993514535,0.02493797993514535,0.0,0.5264890325612269,0.5264890325612269,0.00380828216957525,0.00380828216957525,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1257,16,0.02205515919772245,0.02205515919772245,0.0,0.6061559822458347,0.6061559822458347,0.003546158591780113,0.003546158591780113,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1260,16,0.014517116803622606,0.014517116803622606,0.0,0.4286512699587786,0.4286512699587786,0.003035428635939752,0.003035428635939752,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1268,16,0.01881851914222818,0.01881851914222818,0.0,0.45213968832846635,0.45213968832846635,0.004967715728344047,0.004967715728344047,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1269,16,0.019301134676656055,0.019301134676656055,0.0,0.49213057762594403,0.49213057762594403,0.0031794314877515717,0.0031794314877515717,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1279,16,0.033541031980466665,0.033541031980466665,0.0,0.5536823541185333,0.5536823541185333,0.005170979859030922,0.005170979859030922,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1300,16,0.013485477922011265,0.013485477922011265,0.0,0.4601760299896491,0.4601760299896491,0.0026770751269850736,0.0026770751269850736,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1307,16,0.02084875222613032,0.02084875222613032,0.0,0.5044173027769449,0.5044173027769449,0.003245153888747154,0.003245153888747154,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1308,16,0.03696392308942624,0.03696392308942624,0.0,0.5307988123457109,0.5307988123457109,0.010533944005874218,0.010533944005874218,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1309,16,0.03575530200751089,0.03575530200751089,0.0,0.6245006693931876,0.6245006693931876,0.005286599960436433,0.005286599960436433,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1311,16,0.032883779253158336,0.032883779253158336,0.0,0.523701683828302,0.523701683828302,0.007181376360949798,0.007181376360949798,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1314,16,0.019787211274628194,0.019787211274628194,0.0,0.5326801198153317,0.5326801198153317,0.00324544199365846,0.00324544199365846,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1316,16,0.04226136803942391,0.04226136803942391,0.0,0.5728751534596402,0.5728751534596402,0.006578310587792657,0.006578310587792657,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1322,16,0.017122405491631063,0.017122405491631063,0.0,0.47046666144777827,0.47046666144777827,0.004204198856768926,0.004204198856768926,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1323,16,0.04380056091044704,0.04380056091044704,0.0,0.5972357972077396,0.5972357972077396,0.00635705235063142,0.00635705235063142,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
1336,16,0.02018373703416117,0.02018373703416117,0.0,0.5502466312892514,0.5502466312892514,0.003821534355029144,0.003821534355029144,,adaptive table stores scalars only; reused ranks share nested K_H_cross,reused_nested,reused_nested
