scheme,replicate,outcome,controlled,raw,n,estimator
object_support,2,mse_P,0.2110696440015564,0.31213512877513416,512,K_H
object_support,2,delta_adapt,0.15458013970428353,0.05170388871722686,512,K_H
object_support,3,r2_G,-0.1419585994094826,-0.32647060716860643,512,K_H
object_support,3,mse_G,0.12382268456529451,0.300372971526991,512,K_H
object_support,3,r2_P,-0.0825551321225438,0.04719391586843821,512,K_H
object_support,3,mse_P,0.09559983720717317,0.2573051135258237,512,K_H
object_support,3,delta_adapt,0.07663654713267187,0.05655772207344846,512,K_H
object_support,4,r2_G,-0.2708313663725524,-0.41348492878886717,512,K_H
object_support,4,mse_G,0.2312292932674151,0.3421842992183655,512,K_H
object_support,4,r2_P,-0.15642336077064808,0.016512456941440358,512,K_H
object_support,4,mse_P,0.16487610650484658,0.2926367359609068,512,K_H
object_support,4,delta_adapt,0.17379305498334877,0.0698802156647326,512,K_H
object_support,5,r2_G,-0.2818509959258878,-0.4323296647726622,512,K_H
object_support,5,mse_G,0.26157252434739814,0.3392122214783534,512,K_H
object_support,5,r2_P,-0.15743509387052104,6.964829310719723e-05,512,K_H
object_support,5,mse_P,0.19473233597692863,0.28636847898856727,512,K_H
object_support,5,delta_adapt,0.2055016250672343,0.09127753029834862,512,K_H
object_support,6,r2_G,-0.21608449991989104,-0.37868259761847545,512,K_H
object_support,6,mse_G,0.21051344113708928,0.34913723735709135,512,K_H
object_support,6,r2_P,-0.1574596808802829,0.025118715023861024,512,K_H
object_support,6,mse_P,0.17924395034389626,0.30180518719744565,512,K_H
object_support,6,delta_adapt,0.13030238982158593,0.05403929701536948,512,K_H
object_support,7,r2_G,-0.24591560593836184,-0.3926221804511278,512,K_H
object_support,7,mse_G,0.2616985886519953,0.3066736833522162,512,K_H
object_support,7,r2_P,-0.16423675484373032,0.002071746146187386,512,K_H
object_support,7,mse_P,0.19687229989929161,0.25254444258477243,512,K_H
object_support,7,delta_adapt,0.17407236341424337,0.10416317978164588,512,K_H
object_support,8,r2_G,-0.2600649383161099,-0.40073312204598255,512,K_H
object_support,8,mse_G,0.24412120126228817,0.3800057363728957,512,K_H
object_support,8,r2_P,-0.18200824549959374,0.009046589075428296,512,K_H
object_support,8,mse_P,0.2036133427175244,0.3305974697016514,512,K_H
object_support,8,delta_adapt,0.22404327027614696,0.0661682030418512,512,K_H
object_support,9,r2_G,-0.24816983240063628,-0.40923915453588305,512,K_H
object_support,9,mse_G,0.2347519412114762,0.3388764076286607,512,K_H
object_support,9,r2_P,-0.16970177655897734,-0.0068868661379476075,512,K_H
object_support,9,mse_P,0.1838565627825271,0.2887092517252034,512,K_H
object_support,9,delta_adapt,0.15762571025165653,0.0768460284558428,512,K_H
object_support,10,r2_G,-0.16027198776049714,-0.3546414194733409,512,K_H
object_support,10,mse_G,0.15652796732127122,0.33218248246186244,512,K_H
object_support,10,r2_P,-0.09010289708288988,0.04429577797232808,512,K_H
object_support,10,mse_P,0.11230997370709879,0.28495244604090136,512,K_H
object_support,10,delta_adapt,0.09298333233197148,0.05278357137135076,512,K_H
object_support,11,r2_G,-0.24472040904201145,-0.4006236875007153,512,K_H
object_support,11,mse_G,0.23614392359322964,0.37070362121056066,512,K_H
object_support,11,r2_P,-0.171952516136231,0.031870307904464365,512,K_H
object_support,11,mse_P,0.20769702152069672,0.3197168685126057,512,K_H
object_support,11,delta_adapt,0.17199865030727504,0.06290421044048478,512,K_H
object_support,12,r2_G,-0.27831770851214793,-0.415808892951557,512,K_H
object_support,12,mse_G,0.21561207170323068,0.28859409511220974,512,K_H
