pair,family,size_name,paper_model,approx_params_m,k,method,mknn,n,n_test,protocol,sae1_tag,sae2_tag
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,dense_cosine,0.0119384765625,16384,3277,paper_full_catalog,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,dense_cosine_heldout,0.010802563320109856,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,sae_codes_cosine,0.011107720476045163,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,sae_idf_cosine,0.012175770521818736,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side1_basis_cosine,0.015196826365578273,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side1_basis_idf,0.015166310649984744,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side2_basis_cosine,0.010680500457735734,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_side2_basis_idf,0.011168751907232224,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,dense_cosine_test_subset,0.026212999694842844,16384,3277,test_subset_mknn,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_astropt_850m,astropt,850m,AstroPTv2 Large,850.0,10,shared_best_basis_idf,0.015166310649984744,16384,3277,heldout_query_full_gallery,F2048_k19_seed0,F2048_k19_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,dense_cosine,0.011651611328125,16384,3277,paper_full_catalog,F2048_k20_seed0,F2048_k20_seed0
official_legacy_cross_dino_small,dinov2,small,DINOv2 Small,22.0,10,dense_cosine_heldout,0.012114739090631675,16384,3277,heldout_query_full_gallery,F2048_k20_seed0,F2048_k20_seed0
