family,model,size_name,parameter_count,log10_params,embedding_dim,pca_rank,rank_label,raw_dense_mknn,raw_pca_mknn,raw_pca_minus_dense,pca_ridge_mknn,dense_raw_from_pca_sweep,dense_ridge_mknn,ridge_gain_after_pca,ridge_gain_full,I_pca_x_ridge
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,32,32,0.017973756484589563,0.01821788220933781,0.00024412572474824534,0.0281660054928288,0.0179737564845895,0.0411046689044858,0.00994812328349099,0.02313091241989624,-0.013182789136405249
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,64,64,0.017973756484589563,0.019835215135794934,0.0018614586512053707,0.0339945071711931,0.0179737564845895,0.0411046689044858,0.014159292035398167,0.02313091241989624,-0.008971620384498072
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,128,128,0.017973756484589563,0.020933780897162038,0.002960024412572475,0.0416844675007628,0.0179737564845895,0.0411046689044858,0.020750686603600764,0.02313091241989624,-0.0023802258162954754
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,256,256,0.017973756484589563,0.021299969484284406,0.003326212999694843,0.0451022276472383,0.0179737564845895,0.0411046689044858,0.023802258162953893,0.02313091241989624,0.0006713457430576539
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,512,512,0.017973756484589563,0.021269453768690876,0.003295697284101312,0.0497406164174549,0.0179737564845895,0.0411046689044858,0.028471162648764023,0.02313091241989624,0.005340250228867784
convnext,official_legacy_cross_convnext_nano,nano,15000000,7.176091259055681,640,640,full,0.017973756484589563,0.017973756484589563,0.0,0.0411046689044858,0.0179737564845895,0.0411046689044858,0.02313091241989624,0.02313091241989624,0.0
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,8,8,0.018462007934086054,0.013030210558437597,-0.005431797375648457,0.0142813548977723,0.018462007934086,0.0421116875190723,0.0012511443393347036,0.023649679584986247,-0.022398535245651545
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,16,16,0.018462007934086054,0.016753127860848337,-0.0017088800732377174,0.019438510833079,0.018462007934086,0.0421116875190723,0.002685382972230664,0.023649679584986247,-0.020964296612755583
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,32,32,0.018462007934086054,0.019896246566981995,0.0014342386328959414,0.028410131217577,0.018462007934086,0.0421116875190723,0.008513884650595004,0.023649679584986247,-0.015135794934391242
convnext,official_legacy_cross_convnext_tiny,tiny,28000000,7.447158031342219,768,64,64,0.018462007934086054,0.020872749465974977,0.0024107415318889228,0.0337808971620384,0.018462007934086,0.0421116875190723,0.012908147696063424,0.023649679584986247,-0.010741531888922823
