ok,d,lin_nmse,quad_nmse,quadN_nmse,lin_r2,quad_r2,lam,df,df_frac,n_tr,n_te,m_d,energy,test_sse_lin,dataset_id,sample_id,k,stage
1.0,5.0,0.319025418062882,0.2986140734366886,0.2986140734366886,0.680974581937118,0.7013859265633113,269.3071159479216,10.665958941216315,0.711063929414421,1024.0,1024.0,15.0,181.77158609163018,57.98975624483546,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,6.0,0.28589711204097906,0.2622180485976378,0.2622180485976378,0.714102887959021,0.7377819514023622,304.997300461953,14.380614088180158,0.684791147056198,1024.0,1024.0,21.0,181.77158609163018,51.96797151470527,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,7.0,0.2621241737622956,0.23586529999057118,0.23586529999057118,0.7378758262377044,0.7641347000094288,341.4338015972875,18.484093039954004,0.6601461799983573,1024.0,1024.0,28.0,181.77158609163018,47.64672681773054,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,8.0,0.24046691355471495,0.2072915861887348,0.2072915861887348,0.759533086445285,0.7927084138112652,59.0652333468219,32.73331816316826,0.9092588378657851,1024.0,1024.0,36.0,181.77158609163018,43.71005227939946,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,10.0,0.21056835624211157,0.1784941843928105,0.1784941843928105,0.7894316437578884,0.8215058156071895,70.37529357956332,48.88929533911458,0.8888962788929924,1024.0,1024.0,55.0,181.77158609163018,38.275344094836036,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,11.0,0.19830106931700958,0.1660969116162379,0.1660969116162379,0.8016989306829905,0.8339030883837621,76.55458047327699,57.896957667459574,0.8772266313251451,1024.0,1024.0,66.0,181.77158609163018,36.045499893419134,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,12.0,0.1882506889885785,0.15421488074203113,0.15421488074203113,0.8117493110114216,0.8457851192579688,81.72760500415203,67.90579551216904,0.8705871219508851,1024.0,1024.0,78.0,181.77158609163018,34.218626320296096,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,13.0,0.17836067044666842,0.14413236166154758,0.1441323616615476,0.8216393295533315,0.8558676383384525,87.95991754049545,78.30468041751313,0.8604909935990454,1024.0,1024.0,91.0,181.77158609163018,32.42090196345747,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,14.0,0.16903871521283692,0.13553448859222092,0.13553448859222092,0.830961284787163,0.864465511407779,92.87071276065109,89.55480018279282,0.8529028588837411,1024.0,1024.0,105.0,181.77158609163018,30.726435375128744,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,16.0,0.15582474513185215,0.12477022442990839,0.12477022442990839,0.8441752548681478,0.8752297755700916,105.64037109389083,112.67061340076911,0.8284603926527141,1024.0,1024.0,136.0,181.77158609163018,28.324511074940798,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,17.0,0.15034856907177163,0.11955743500325035,0.11955743500325035,0.8496514309282284,0.8804425649967497,110.87093997952655,125.41844625561136,0.8197284068994206,1024.0,1024.0,153.0,181.77158609163018,27.329097866782945,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,18.0,0.1453855107470507,0.1157340485187459,0.1157340485187459,0.8546144892529492,0.8842659514812541,115.40006526056973,138.44420457413955,0.8096152314277166,1024.0,1024.0,171.0,181.77158609163018,26.42695488323315,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,20.0,0.13601987337265445,0.10833969066047168,0.10833969066047168,0.8639801266273456,0.8916603093395283,127.19348197576069,165.23204533249663,0.7868192634880792,1024.0,1024.0,210.0,181.77158609163018,24.724548122930095,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,22.0,0.1275967968384269,0.10304566175044255,0.10304566175044254,0.8724032031615732,0.8969543382495575,863.128910139346,103.20041046396129,0.40790676072711973,1024.0,1024.0,253.0,181.77158609163018,23.19347214153236,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,23.0,0.12388988784340038,0.10004698906039163,0.1000469890603916,0.8761101121565996,0.8999530109396083,894.4682537030836,109.32193224089073,0.3960939573945316,1024.0,1024.0,276.0,181.77158609163018,22.51966141400906,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,24.0,0.12089195991632919,0.09789899509196394,0.09789899509196394,0.8791080400836708,0.902101004908036,930.6821501863744,115.41320138866458,0.3847106712955486,1024.0,1024.0,300.0,181.77158609163018,21.974723299716935,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,26.0,0.11435254891939434,0.09323711908951413,0.09323711908951413,0.8856474510806056,0.9067628809104858,1000.0861196415101,127.23645893020111,0.36249703398917693,1024.0,1024.0,351.0,181.77158609163018,20.78604419069904,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,28.0,0.10878732202858146,0.08901167311172695,0.08901167311172695,0.8912126779714186,0.910988326888273,1070.3874641711882,139.344331102269,0.3432126381829286,1024.0,1024.0,406.0,181.77158609163018,19.774444071796193,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,30.0,0.10432040725479763,0.08599691469737063,0.08599691469737063,0.8956795927452024,0.9140030853026294,1151.2790895903815,149.88123535647065,0.32232523732574336,1024.0,1024.0,465.0,181.77158609163018,18.96248588842937,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,32.0,0.09968692953532639,0.0824402618014859,0.0824402618014859,0.9003130704646736,0.9175597381985141,1220.426302453182,161.605899191761,0.30607177877227465,1024.0,1024.0,528.0,181.77158609163018,18.120251294240852,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,34.0,0.0953947857004895,0.07921625501091166,0.07921625501091166,0.9046052142995105,0.9207837449890883,1299.0946850465225,171.9778530253417,0.2890384084459524,1024.0,1024.0,595.0,181.77158609163018,17.34006150164914,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,36.0,0.09174561372248193,0.07653395372474184,0.07653395372474184,0.9082543862775181,0.9234660462752582,1380.1957772995977,181.59658891013606,0.2726675509161202,1024.0,1024.0,666.0,181.77158609163018,16.67674572328557,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,38.0,0.08855719689596103,0.0741249555173674,0.0741249555173674,0.9114428031040389,0.9258750444826326,1449.9935983275273,191.61629881349967,0.25859149637449347,1024.0,1024.0,741.0,181.77158609163018,16.097182139607625,desi_vit_base_hsc,3158,2048,coarse_fixed
1.0,2.0,0.42921630127956073,0.42161214581900125,0.42161214581900125,0.5707836987204393,0.5783878541809988,163.23534186513228,2.366414780551361,0.7888049268504537,1024.0,1024.0,3.0,272.1662108638959,116.8181743602744,desi_vit_base_hsc,15209,2048,coarse_fixed
